Fold Train error : 0.2052980132450331
Fold Test error : 0.2972972972972973
Majority for this fold -> 0.32432432432432434

Fold Train error : 0.2052980132450331
Fold Test error : 0.2972972972972973
Majority for this fold -> 0.32432432432432434

Fold Train error : 0.2185430463576159
Fold Test error : 0.24324324324324326
Majority for this fold -> 0.32432432432432434

Fold Train error : 0.2052980132450331
Fold Test error : 0.2702702702702703
Majority for this fold -> 0.32432432432432434

Fold Train error : 0.23178807947019867
Fold Test error : 0.2972972972972973
Majority for this fold -> 0.32432432432432434

