state, learning_error, dispersion, majority_error, threshold 
bp_step,0.2872340425531915,0.0013138516723510962,0.3404255319148936,0.9903700796376848,
bp_step,0.2872340425531915,0.0014453339299360657,0.3404255319148936,0.9893199465882656,
bp_step,0.2872340425531915,0.0016010230002206916,0.3404255319148936,0.9880647588817675,
bp_step,0.2872340425531915,0.0017874407072603349,0.3404255319148936,0.9865424914236534,
bp_step,0.2872340425531915,0.002013545976519926,0.3404255319148936,0.9846692195226161,
bp_step,0.2872340425531915,0.0022917838303878613,0.3404255319148936,0.9823254548533806,
bp_step,0.2872340425531915,0.0026397886266844584,0.3404255319148936,0.979336921678509,
bp_step,0.2872340425531915,0.003083053799779467,0.3404255319148936,0.9754411655831813,
bp_step,0.2872340425531915,0.0036591492688714533,0.3404255319148936,0.9702335195544877,
bp_step,0.2872340425531915,0.004424295949788215,0.3404255319148936,0.9630794993789124,
resub,0.3191489361702128,0.004296136349168256,0.3404255319148936,0.9611520541514924,
bp_step,0.2765957446808511,0.005287197639432639,0.3404255319148936,0.9536954946164138,
bp_step,0.2765957446808511,0.006686131171491527,0.3404255319148936,0.9392955327347056,
bp_step,0.2765957446808511,0.008650085600309443,0.3404255319148936,0.9177100661667872,
bp_step,0.2765957446808511,0.0113453583394173,0.3404255319148936,0.8847218230690382,
bp_step,0.26595744680851063,0.014737403438924157,0.3404255319148936,0.8359839190039344,
bp_step,0.2553191489361702,0.018162207481365544,0.3404255319148936,0.769689125276122,
bp_step,0.26595744680851063,0.020419851170315306,0.3404255319148936,0.6992530800939237,
bp_step,0.2765957446808511,0.02125163840869615,0.3404255319148936,0.6705434495942462,
bp_step,0.2872340425531915,0.021703361970076496,0.3404255319148936,0.6211753752151962,
bp_step,0.2872340425531915,0.02247277243224055,0.3404255319148936,0.6217839603017739,
resub,0.30851063829787234,0.01905626471632349,0.3404255319148936,0.6265997214865915,
bp_step,0.2872340425531915,0.02241004484221676,0.3404255319148936,0.6483878289685701,
bp_step,0.2872340425531915,0.02355657532863098,0.3404255319148936,0.6284502244921466,
bp_step,0.2765957446808511,0.024569758389266783,0.3404255319148936,0.6287713273128991,
bp_step,0.2765957446808511,0.025571501036221522,0.3404255319148936,0.6273555085508344,
bp_step,0.2765957446808511,0.026585365792209825,0.3404255319148936,0.6258875634383092,
bp_step,0.2765957446808511,0.02762245577695832,0.3404255319148936,0.6247148429692723,
bp_step,0.2765957446808511,0.02868365378372084,0.3404255319148936,0.6237139633774536,
bp_step,0.2765957446808511,0.029766903523163135,0.3404255319148936,0.6227267383524309,
bp_step,0.2765957446808511,0.030870989859735687,0.3404255319148936,0.6217365363333534,
bp_step,0.2765957446808511,0.031995900005718725,0.3404255319148936,0.6206649453178619,
resub,0.2872340425531915,0.029762885287974217,0.3404255319148936,0.6450698223383735,
bp_step,0.2765957446808511,0.03342507120372651,0.3404255319148936,0.6432280392388209,
bp_step,0.2765957446808511,0.034988598735607,0.3404255319148936,0.6196827716328623,
bp_step,0.2765957446808511,0.03640564824857073,0.3404255319148936,0.617478959054496,
bp_step,0.2765957446808511,0.03782837359015323,0.3404255319148936,0.6154284538199433,
bp_step,0.2765957446808511,0.03927760870769281,0.3404255319148936,0.6139276054301253,
bp_step,0.2765957446808511,0.04075524136691433,0.3404255319148936,0.612633403285331,
bp_step,0.2872340425531915,0.0422565247577249,0.3404255319148936,0.6111900887606678,
bp_step,0.2872340425531915,0.04377800723753267,0.3404255319148936,0.631499726873535,
bp_step,0.2872340425531915,0.045318726743746596,0.3404255319148936,0.6299503374024547,
bp_step,0.2872340425531915,0.04687874365787814,0.3404255319148936,0.6283764917687513,
resub,0.2872340425531915,0.04455291731313382,0.3404255319148936,0.6292947066676251,
bp_step,0.2978723404255319,0.04839206148257502,0.3404255319148936,0.6040065132563801,
bp_step,0.2872340425531915,0.0501930118724766,0.3404255319148936,0.6085840007067678,
bp_step,0.2872340425531915,0.05183130686336246,0.3404255319148936,0.606207745783498,
bp_step,0.2872340425531915,0.0534687763838414,0.3404255319148936,0.6041210535755456,
bp_step,0.2872340425531915,0.05512838780559204,0.3404255319148936,0.6180639170056204,
bp_step,0.2872340425531915,0.056811825685448625,0.3404255319148936,0.6165381916943771,
bp_step,0.2765957446808511,0.05851277285164458,0.3404255319148936,0.6161359486580307,
bp_step,0.2765957446808511,0.06022658177251938,0.3404255319148936,0.6145483889293771,
bp_step,0.2765957446808511,0.06195173119875341,0.3404255319148936,0.6096712564075031,
bp_step,0.2765957446808511,0.0636879029444325,0.3404255319148936,0.6079224126542888,
resub,0.2872340425531915,0.06130191965418852,0.3404255319148936,0.6105800622980039,
bp_step,0.26595744680851063,0.06528815570930346,0.3404255319148936,0.6065872640262899,
bp_step,0.26595744680851063,0.06729854574577687,0.3404255319148936,0.606344536216071,
bp_step,0.2553191489361702,0.06912691872105459,0.3404255319148936,0.6047911021147647,
bp_step,0.2553191489361702,0.0709379275134463,0.3404255319148936,0.6024738352126094,
bp_step,0.2553191489361702,0.07275620333975419,0.3404255319148936,0.600713518174109,
bp_step,0.2553191489361702,0.0745861009328207,0.3404255319148936,0.5991756601704025,
bp_step,0.2553191489361702,0.07642158595385373,0.3404255319148936,0.5975573723021699,
bp_step,0.2553191489361702,0.07825715135948363,0.3404255319148936,0.595946871651735,
bp_step,0.26595744680851063,0.08009061994899269,0.3404255319148936,0.5926610710741309,
bp_step,0.26595744680851063,0.08192148673420907,0.3404255319148936,0.5910050515026615,
resub,0.2765957446808511,0.07937765204477443,0.3404255319148936,0.5828435713655822,
bp_step,0.26595744680851063,0.08337264470220274,0.3404255319148936,0.582373607528726,
bp_step,0.24468085106382978,0.08538739971737008,0.3404255319148936,0.5957367959401539,
bp_step,0.24468085106382978,0.08720696923417826,0.3404255319148936,0.5839172646033499,
bp_step,0.24468085106382978,0.08899043442975185,0.3404255319148936,0.5814596601380662,
bp_step,0.24468085106382978,0.09076376577088574,0.3404255319148936,0.5798457567592405,
bp_step,0.24468085106382978,0.0925379411040893,0.3404255319148936,0.578777293768138,
bp_step,0.24468085106382978,0.09430963228855727,0.3404255319148936,0.5760273281714354,
