state, learning_error, dispersion, majority_error, threshold 
bp_step,0.33112582781456956,21.75551050514872,0.33774834437086093,-677.8338216344821,
bp_step,0.33774834437086093,26110.173275665176,0.33774834437086093,0.0,
bp_step,0.33112582781456956,1.6077353714673385E7,0.33774834437086093,-3.381627342626403E8,
bp_step,0.33774834437086093,6.691221809043903E9,0.33774834437086093,0.0,
bp_step,0.33112582781456956,2.1078649252414512E12,0.33774834437086093,-4.938499898626764E13,
bp_step,0.31125827814569534,5.155942388110795E14,0.33774834437086093,-2.4599133543922888E14,
bp_step,0.33112582781456956,8.8156718192754224E16,0.33774834437086093,-2.7312039275861647E18,
bp_step,0.33774834437086093,2.25521679882916659E18,0.33774834437086093,0.0,
bp_step,0.33774834437086093,6.395393975166876E21,0.33774834437086093,0.0,
bp_step,0.33112582781456956,3.623567555616091E24,0.33774834437086093,-7.2818728338405985E25,
resub,0.33774834437086093,1.7179869184E10,0.33774834437086093,0.0,
bp_step,0.33774834437086093,4.028008079328461E27,0.33774834437086093,0.0,
bp_step,0.33112582781456956,5.268035666560459E30,0.33774834437086093,-1.2421713503311069E32,
bp_step,0.32450331125827814,3.5776839851340646E33,0.33774834437086093,-1.2875012882732066E32,
bp_step,0.33112582781456956,1.643514805696762E36,0.33774834437086093,-3.5532827015867233E37,
bp_step,0.33774834437086093,5.716490322315029E38,0.33774834437086093,0.0,
bp_step,0.33112582781456956,1.5673283878890547E41,0.33774834437086093,-3.8862520783502677E42,
bp_step,0.33774834437086093,3.255325521964685E43,0.33774834437086093,0.0,
bp_step,0.33112582781456956,3.6124053344774226E45,0.33774834437086093,-1.4317693606547272E47,
bp_step,0.33774834437086093,8.988725518714944E47,0.33774834437086093,0.0,
bp_step,0.33774834437086093,7.952533329003144E50,0.33774834437086093,0.0,
