weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.040765086823172,0.5387648887191051,0.9383530272846913,0.1782992393562162,0.44584782421126323,0.07129760764348844,0.2654732807357509,0.6481253912896277,0.27800866595375867,-0.07604846091605116,-0.7125337563582458,-4.227097252378616,0.2677854843701026,-0.10278256161315873,0.0979527588117802,0.7123703902441049,-2.00394190647248,0.17649235784498762,6.615581207172102,0.746600004162307,-0.9870735434124458,3.4087293546329986,-0.16927731714116237,1.1458943730683993,0.6042381474104329,0.08407273173100853,0.21490532100127954,-2.1950118504562406,-0.05217788920117895,0.33358493591103056,-3.5805862531676,-0.15181551311361688,2.538268976966701,2.6862055290859304,-1.7024506926621839,-1.2067829381740056,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1106203468379006,0.10176885086025823,0.38216699154120176,0.846107144532112,0.07790557523871067,0.07200328736276665,0.11279374517510718,0.3007371994600605,0.12107995233736324,-0.27741284384465853,0.06458292696269972,-0.2346548131009591,0.3202805173452726,-0.02440386234565549,0.2243412807622136,0.2794934827131187,-0.46033713194226245,0.20921524275893053,1.8477686313750648,0.053918433813325464,-0.2747752532750286,1.6105184075723789,0.017248974761387873,0.15521211673799962,0.21197073861970991,0.11150670938741312,0.050912428743952486,-1.1206185393544676,0.6601678008808874,0.1297496113222381,-0.9334489695782316,-0.4157855414001354,0.5496652612691516,0.7773848361006269,-0.2850573480086054,-0.34009436470923854,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.394722861818132,0.4052253295025837,0.8824568219419563,0.2684634342725543,0.49962059992801783,0.39427240233853283,0.47927380226066957,0.14044766837564351,-0.03448012312649025,-0.7533012506939294,-0.8259230866205732,-3.944563610418968,0.536452778257245,0.06081459057965275,0.2328137165928859,0.4945455850948099,-1.7782842498139493,0.40044918160733706,6.380787473546121,0.13570170912648227,-1.1598462270688563,3.6692752844802006,0.25856282651464674,0.12415486222757831,0.44672962730632787,0.4368367370323981,0.3239455689603707,-2.3466976965633406,0.2563395248797887,0.25909599350642315,-3.3183425653902257,-0.8204417946471918,2.68783930365538,2.675945474737772,-1.5239171207381474,-1.2043665692763104,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7566109940650051,0.33167111667432675,0.9869186432738115,-0.5862609380697255,0.12348587547926712,0.1024227084132636,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7265546113067297,0.0828177721839986,0.8256340511204308,-0.4711083886181085,0.2285762417968268,0.07865088626109307,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4702698143609976,0.0678966596355419,1.80419196410711,-1.9821777948153334,0.12830616514278323,0.14135290704002837,
finalKappa,0.12317000281159407,0.8670204219029205,0.3639383416508675,0.20134076500620837,0.3827234993095141,0.6590684392859071,0.40061099320594024,0.5124057019276081,0.2251075419923334,0.02967117476144629,0.20304655275687564,0.06700433698251805,0.6042720763631272,0.1208300064076109,0.4372402601721321,0.04214112954891165,0.14381045133265424,0.023065043155321402,0.2189755361322603,0.21960894915167917,0.2842885885982249,0.3487935586710557,0.4179217901526481,0.2108562908797569,0.4338468559176615,0.5190834824761345,0.15858195056575186,0.08003141172202476,0.02998505344514279,0.6496234817521386,0.32825017044711435,0.12673348604749704,0.02988113789733061,0.2295716083380779,0.40352145585846255,0.47412656607757303,0.01196598234877971,0.05361213885619939,0.14271252205619508,0.11827842648082058,0.014230623113678944,0.10128090928004292,0.08286367628949985,0.08153022779184886,0.17441043035026935,1.1901090356496198,0.0886307220730624,0.08547311093007406,0.5260750283718378,0.15730119402620438,0.10060586421810669,0.06302860212270708,0.09226606535714044,0.24341843861234588,0.6783095159800165,0.3791155808383108,0.2895147353406788,0.18373539318710974,0.26947863848033493,0.5922841584032378,0.29537620459695585,0.2079398129237724,0.5229339079640382,0.1826716052177982,0.0559103446418419,0.6393612649067385,0.24551487525743873,0.14029448282176396,0.17218538694188854,0.31417098751324934,0.23468498384110725,0.10983463545652444,0.5198316276545891,0.39462278574762094,0.46739697232686656,0.3231198022075828,0.4301748828715151,0.4433897344171713,0.22187205455269438,0.29439367670843536,0.6297602469259007,-0.019411590413456106,-0.0017310042324784932,0.0067392408612974115,0.15296804490840557,0.1656836685212526,0.10662401639732697,1.000877170242313,0.6198093463653617,0.030970659578350178,0.21098600632419748,0.024034664027556805,0.13151040991307192,0.19955868672451912,0.23412549511162392,0.3643244919416248,0.3294221478858261,0.175823274556892,8.710504742718006E-4,2.9370353032562345E-4,0.23316889484522887,0.07012468140589297,0.11187150270948046,0.1501509678135445,0.015419614868492394,0.015714167140517897,0.5561987285220731,0.24790518026730277,0.007180305872142959,0.14013702219752247,0.036645732189323654,0.0012204146292679845,0.21571945745450632,-0.015650257716330294,0.014664762500639859,0.031849348007636565,0.1799024234307238,0.327481933753991,0.22360019840751688,0.24017646146595428,1.1764265880042244,0.22747563459083378,0.2503113108374582,0.38317676111453,0.022172674278948812,-0.01597063135664461,0.2705338287459485,-0.011917323604682882,0.5598115519936817,-0.022475132481282592,0.14915509803482283,0.10907193889316115,0.8303207294321462,0.35120611147524694,0.015784847451966927,0.24445925661278425,0.27859152248208036,0.36477066892631027,0.025837545144400252,0.21443270779684573,0.11800532261865204,0.11757712002512927,0.11514928431653701,0.19611378652487485,0.328774621545312,0.25491946836681956,0.15439178327745323,-0.021748950398002603,0.07305747702578386,-0.005998237158516423,0.04780176137130724,0.10392874200934195,0.14130530057983215,0.05909471943361757,0.7707179578232832,0.3412957554817304,0.04632572582912375,0.010964767808001532,0.1871053194475286,0.18501212472581743,0.5057643094598013,0.4109348396595447,0.2444686638927042,0.15596734643228788,0.8960914682604587,0.3581192904723767,0.2693970634511732,0.3513988815497489,0.7361797109904417,0.20378001191895176,0.807764572733285,0.09359698371220065,0.15776070643378418,0.05542388933777295,0.0690233950152115,0.2542759256872668,0.1655244777941914,-0.022091913777282323,0.22365796189985152,0.37143853029312407,0.3025110550330901,0.26892264790262355,0.6092476433616616,0.1918188830976451,0.32857280855805704,0.30213978859029084,0.21949565255915435,0.2808623901153781,0.17751374489329494,0.20000210223997544,0.558581663225314,0.35340919521717123,0.1881411453839763,0.1075983910580625,0.09498067858761941,0.0312300421864355,0.03868184061607399,0.12854346893539348,0.03276907717885224,0.6491422078326735,0.33700169196269203,0.42812871974964245,-0.01277443915047456,0.035563894882335106,0.29861743785246153,-0.011163120035270086,0.5984524117239887,0.3125663757626312,0.1098944744994216,0.07350221099475988,0.217994059755739,0.3962926651337862,0.14133680291161854,0.061401930388717794,0.11442598514425294,0.22297732328597322,0.35334628554427044,0.3099419691901008,0.478403664875505,0.2185833630544814,0.4669782734244502,0.2526922481867036,0.659536576776099,0.2676167308183914,0.3226070198105538,0.10562685706362192,0.09005223770254424,0.2529296726167471,0.08668268118242953,0.46780934110647243,0.034552832174514006,0.03405535093657973,0.24221592866620656,0.16959614197342954,0.2646468609917766,0.24396837750978573,0.3575290459630412,0.29814814332073974,0.42610360187156626,0.41981831895052574,0.49910272807876854,0.3106077717519173,0.311228743347048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
