weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7427829830576673,0.11109470136829158,0.041845213444160256,0.1370844510322261,-0.09598302330655892,0.010182773146858939,0.20798410210237633,0.5970824038558522,0.47479775707087424,0.5784746149970204,-0.005845691308069209,-0.5295831746182934,0.022231494077917895,0.03029923203424101,0.128245186598389,0.30341341693848967,0.07137844554114904,0.045742004949199035,1.0827407584709032,0.8592602548643682,-0.027121832009260976,2.429681069258148,-0.032220661901013754,1.047597917653092,0.09467290812825599,0.12292376023660731,0.02920490112869588,-0.710255644243623,0.017010576195874656,0.11367904407242924,-0.27836894366419845,0.32215219371177656,0.21749397504142817,0.4534148133007532,-0.12176640240485201,-0.06554717393017563,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50264754321702,0.039492029904217976,0.22411094106227092,0.8376171460948506,-0.010221982147248895,0.0598634442121154,0.10087216648521574,0.28969844410179246,0.16551546371822073,-0.05607993323580376,0.2486766440154571,0.6867589212199552,0.2685435243168253,0.008151085506181224,0.23117410257448803,0.1882421538553464,-0.018551223734351443,0.18210027270006232,0.522618375557183,0.07559651963347935,-0.08785508673294644,1.2354543844620076,0.06577693434959127,0.13489958151554826,0.1185745774638624,0.11927671695308523,0.013049718741326575,-0.6362322513972757,0.6764023203278041,0.08332625011527083,-0.13328215658960552,-0.15223527215239377,0.11961729611117024,0.2817614998816378,0.06199475736894198,-0.06792362704235304,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0425245342052485,0.017492854848822684,0.019794965248077907,0.22927614912873215,0.01265367865462578,0.33601133506322955,0.4233797344869252,0.09105764925153835,0.15715286853980912,9.348244294021812E-6,-0.14686114788228125,-0.42031312397379905,0.31690993640693726,0.18958835126859186,0.2611593924212136,0.10172550568038446,0.28819415556578526,0.27190347576882734,0.8808288762963017,0.23562469228686486,-0.19881317512872834,2.6944983530513946,0.39884313479696926,0.029422880293158746,-0.03129670563050353,0.470894987171011,0.13701132710063774,-0.6339620906092259,0.32398328379236513,0.042875539876017284,-0.11651105476426275,-0.27467954566922537,0.2727481963686422,0.4424146989295699,-0.01806487318112395,-0.07963037590280461,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20495860469040533,0.29733480950605656,0.7082390788515253,0.1854541818169446,0.07937470426752857,0.05831153720152505,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19757775881390052,0.050037589061933944,0.5676261920497037,0.24264821322066127,0.1870588660907496,0.03713351055501575,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1460151745205889,0.028342663639787893,1.4970781960308526,-0.8500104757270918,0.0741015322448048,0.08714827414204988,
finalKappa,0.017456462390891662,0.7455757891742335,0.2694983080878857,0.07989613227752261,0.2448627192501528,0.5468672299464842,0.3061709596429582,0.4002044925881799,0.1492218605741494,0.04911205471604652,0.2196920275167209,0.0899934219175463,0.6209175511229674,0.134576624339088,0.4563324963516978,0.06513021448394016,0.16290268751221657,0.054745045044215394,0.09851846397631145,0.08095122043450162,0.18206303266434581,0.21013582995387367,0.26027712038814976,0.08823440842421404,0.33162129998378437,0.39646160002059433,0.0836608247343836,0.06312505177350876,0.008817428936023419,0.6363220190657232,0.30708254593799594,0.10110946945668987,0.011435645563960936,0.21627014565166072,0.38507596352509127,0.4676263026224535,0.02191628427657836,0.06274629549259893,0.15527724197815232,0.12741258311722084,0.022521517159954138,0.11261243481531712,0.09542839621145804,0.09286175332712308,0.19208469588679047,1.1697820294093024,0.0632085025822386,0.0707354385581035,0.5006528088810136,0.1265492421180951,0.07977191373623721,0.0482909297507372,0.07143211487527115,0.238257507280365,0.5277994203775779,0.20953054376221014,0.15651082349177367,0.014150356111006509,0.07999827580135081,0.43805908783835407,0.1623722927480513,0.053714742358883884,0.41574295756185375,0.19016486791784015,0.059485207950754355,0.6521772588375049,0.24908973856635586,0.13979498264243576,0.17988101112797364,0.3269869814440248,0.24238060802719244,0.1336193738664704,0.3477725078369198,0.2006368918183484,0.3200542848389115,0.12913390827831164,0.2133331360842988,0.2717831467582862,0.07452936706474099,0.12278708904955377,0.5175016616997935,2.9289541143442933E-5,0.014914470527368875,0.029728325796326116,0.1696135196682509,0.17943028645273001,0.1257162525768899,1.0238662551773348,0.6389015825449237,0.06265066146724456,0.23322995888184278,0.045969824626225154,0.15669522033559993,0.22149384732318866,0.2557567825244981,0.38872127965008796,0.35460695830836103,0.20022006226535558,0.0322482366910008,0.017535264590235713,0.24680451068748008,0.09324292944493076,0.12550711855172694,0.16003944074741244,0.03371008786793977,0.038832415179556205,0.5744892015215192,0.28297842126155104,0.017130607799941855,0.1492711788339234,0.04921045211128147,0.010354571265668197,0.2240103515007814,-0.0043187321810558375,0.0272294824225974,0.04318087354291135,0.19757668896724492,0.33621803420279855,0.2322167694163553,0.2509506118949802,1.185043159013072,0.23597506673037252,0.2607864957270653,0.3939509115435588,0.03264785916855357,-0.0015207028503591625,0.2803625076358091,-0.003166840352905433,0.5730389647088199,-0.01372464922950529,0.15678891234899048,0.12073939214216935,0.8435481421472844,0.3628735647242519,0.035346732219132045,0.2519525193128272,0.2821663857909962,0.3775866628570859,0.029412408453313214,0.21393320761751747,0.12570094680473629,0.13039311395590242,0.12284490850262185,0.21989852493482057,0.34817097847482514,0.2736528245736131,0.17732075292003882,-0.0030155941912105113,0.0911168644622654,0.0157293380981719,0.07073073101389421,0.1256563172660297,0.17131140250490823,0.06201918800163353,0.7687343856167143,0.3519267635518706,0.04434215362255217,0.0038722759506621745,0.1914837583882278,0.19564313279595397,0.5101427484005078,0.4359548899640547,0.12401159173675635,0.01730961771510859,0.7938659123265754,0.21946156175519427,0.11175239368667021,0.22877699909421037,0.6339541550565587,0.08115812946340964,0.732843446901918,0.11083854477211072,0.1713963222760325,0.07854213737681173,0.08265901085745996,0.2641643986211326,0.1838149507936376,0.0010263342617563135,0.24194843489929777,0.4065117712873728,0.16282240572532997,0.1082294356321723,0.4953343305295853,0.031125670827193072,0.14598173617074067,0.16483516148254876,0.1055823397270797,0.14355776300763537,0.10058773701087557,0.1796750959996628,0.5331594437344898,0.33867152284520036,0.16271892589315284,0.0768464391499551,0.07414672810575003,0.016492369814465408,0.017847890134205423,0.1233825376034142,0.04259775606871301,0.6578926910844458,0.3502291046778308,0.4368792030014228,-0.00514062483630854,0.0472313481313438,0.3118448505676003,5.043332137385254E-4,0.618014296491153,0.2872591509355335,0.07850028050426935,0.05595070522269842,0.18659986576058835,0.3585313964527723,0.11655621576796131,0.04385042461665671,0.08964539800059192,0.21811629362306925,0.18128716572660003,0.11595607526083046,0.3310609773875504,0.024597469125210852,0.25013652663723557,0.08108566052782448,0.5121938892881472,0.09601014315951253,0.21034843458444996,0.10855132563163768,0.08806866549597199,0.2635606806868875,0.08469910897585739,0.46071684924913153,0.038931271115215105,0.04468635900671541,0.246594367606906,0.19461619227793456,0.06596601977848024,0.020151328145660098,0.191445479920956,0.07433109395661391,0.176108417461919,0.22604842763162095,0.33301916203668275,0.11683788043301166,0.1906098649349891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
