weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6962272884663765,0.34508279569344263,0.5582492241664643,0.16477584266345272,0.30408922733187177,0.04810592336670023,0.24540362935351745,0.6278093153710933,0.3447150752404583,0.09359862242248641,-0.5455001843708078,-3.2006001496567325,0.18280531786315202,-0.06796570543841572,0.11009567788029852,0.6002709442886058,-1.3076150820965613,0.1308815507936321,5.410101322725008,0.802773489718778,-0.6857564619189485,3.4093918519982083,-0.17014507046053604,1.1136745343502228,0.49199031428463313,0.10300496341361465,0.1452287521523308,-2.030678307317227,-0.03268704825812618,0.26223877850469296,-2.532135516559921,-0.4347757387630775,1.7211231408850698,1.9781447188691146,-1.217133449372021,-0.8875604276809778,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066780401856312,0.08239764240887347,0.3353181664540848,0.844496831419711,0.06717138138915925,0.06924727950486324,0.11035652267897259,0.2979965300786956,0.13003843556641126,-0.25188541502616846,0.08836063773245378,-0.09241783649667167,0.3090267954347124,-0.019481582472593524,0.22603135316409745,0.2660676970976513,-0.3668872794748156,0.20368225514166705,1.6926931738828068,0.06149606957531429,-0.24524302009328194,1.6134641113559338,0.019499671399289566,0.15135292154452393,0.20029761015879452,0.11418334542424073,0.04244120028364745,-1.0685031395337048,0.66281943529098,0.12099508335883079,-0.7740173319062302,-0.44964695216856426,0.4624482693621523,0.6837346349972219,-0.2269634055450455,-0.29799677288232906,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0551448731009985,0.2260026771462673,0.516875943250256,0.2559997590876395,0.37665214111610373,0.3727952753402051,0.4602720976837172,0.12115613920037202,0.028394491319313965,-0.5548563986612207,-0.6743861734480849,-2.9907210086915526,0.4624503459189226,0.09301545454085856,0.24374889342261316,0.39040748064574177,-1.1023324186241836,0.35671622552093835,5.208868374534255,0.18755443531471938,-0.8705327824069686,3.6812381785962476,0.2575652627338409,0.09400017216303878,0.34451876758349764,0.4541288403189597,0.2551969851114679,-2.1584356013975645,0.2747904844082626,0.19085126559995394,-2.3309243581678816,-1.0514998780856497,1.8700847712732955,1.9852660975812115,-1.0797278981171816,-0.9015766421012553,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5823998993910847,0.3206924638163939,1.0030763633340147,-0.42285216841253287,0.11490449789396398,0.09384133082796046,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5579067628187223,0.0720694175840069,0.8413641870158151,-0.30937287800815905,0.22020801537050855,0.07028265983477473,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2827734160324757,0.056506805105370914,1.8125275486901182,-1.7863808893491704,0.11911249549827486,0.13215923739552002,
finalKappa,0.0923570796145333,0.8326884865545677,0.33405139640324527,0.16700882965785468,0.34476775565582096,0.6256799310788896,0.37072404795831754,0.47901719372059504,0.19482124432162248,0.040146859805326854,0.21342655909881628,0.07568029894963926,0.6146520827050664,0.13111953715482405,0.4457335907161672,0.05081709151603292,0.1523037818766875,0.02980484869689516,0.18689494991600333,0.18361398689035985,0.25587702842022,0.3127985964097335,0.37789576467007346,0.17859011884299117,0.40543529573965675,0.48681731043936893,0.13258288465100654,0.07573551157136191,0.025115479877291708,0.6446559851374046,0.32338059687926624,0.12126751912763259,0.024363554416403855,0.22460411172334493,0.3980038723775362,0.4678354545308713,0.014270750470244637,0.055924206503456,0.1445409116942585,0.12059049412807717,0.016550362958014347,0.10310744367052462,0.08469206592756442,0.08335676218233055,0.17566028635144296,1.1861795756468758,0.08404972525807826,0.08144849744784735,0.5214940315568551,0.1520425492543591,0.09596456219459991,0.059003988640480225,0.08762476333363368,0.23865547478783133,0.6339637068998772,0.3305823088110857,0.2494188699068412,0.13520212115988287,0.21663393052879765,0.5480805454737183,0.25528033916311876,0.1637361999942489,0.485782479843642,0.1904239568456749,0.06340054255158045,0.6461236941418158,0.25300507316717824,0.14752141546369327,0.17861747078224482,0.32093341674832754,0.24111706768146357,0.11547167173821213,0.4729511658554043,0.3431356205878233,0.42752418244856966,0.27163263704778495,0.3739451057590061,0.39903281173650545,0.18199926467439656,0.25003675402776915,0.5956523494454256,-0.00893590536957568,0.008649002109462987,0.015415202828418986,0.1633480512503462,0.17597319926846608,0.11511734694136191,1.0095531322094222,0.6283026769093959,0.03771046511992422,0.2174639641543767,0.030660728120108248,0.13718674532490008,0.20618475081707024,0.24090789614896882,0.3701111821014286,0.33509848329765746,0.18160996471669663,0.005769100609860622,0.01115330484405006,0.24384808612908698,0.07981281688002846,0.12255069399333722,0.1606514583525654,0.024851549108808036,0.025402302614654426,0.5656306627623868,0.2563015404541794,0.009485073993607982,0.14244908984477836,0.03847412182738794,0.0035324822765246513,0.2180391972988416,-0.013823723325848932,0.01649315213870406,0.03367588239811799,0.18115227943189746,0.3287579781032933,0.2249086674020184,0.24127698966510402,1.1777350569987408,0.2288178528475327,0.2514391803473781,0.3842772893136809,0.023300543788867194,-0.015058972315304127,0.2730963223726803,-0.0093598815381294,0.5620198723484445,-0.019917690414729197,0.15170724298700938,0.11126826599861471,0.832529049786909,0.3534024385807002,0.0175404937735092,0.2522116082406606,0.2860817203918189,0.3715330981613886,0.033327743054138874,0.22165964043877506,0.12443740645900697,0.12433954926020784,0.12158136815689184,0.20175082280656376,0.33478008715794816,0.2610383295407121,0.15977558737251207,-0.015630089224109477,0.07929655105945183,-5.345736136813488E-4,0.053185565466366776,0.10939240555417729,0.14609204150739916,0.0669126582792666,0.7781798762521694,0.3487571530318457,0.05378764425800694,0.01806571802400202,0.19415458972740005,0.19247352227592893,0.5128135797396794,0.4179142247281807,0.21238807767644713,0.11997238417096825,0.8676799080824545,0.3221243282110541,0.2293710379685964,0.31913270951298367,0.7077681508124373,0.17151383988218594,0.7817655068185433,0.10445658502592559,0.16843989771764234,0.06511202481190952,0.07970258629906829,0.26477641622628684,0.17495641203450718,-0.01240377830314573,0.23308989614016729,0.37983489048000085,0.2683296740028385,0.23041107786191056,0.5815353896758101,0.1533073130569314,0.28560250181534974,0.27020005392484675,0.19178339887330717,0.24892265544993344,0.15508129602736612,0.19607264223722995,0.5540006664103313,0.3493845817349433,0.18356014856899266,0.1023397462862176,0.0903393765641127,0.027205428704208726,0.03404053859256729,0.12378050511087936,0.035331570805583266,0.6516996498992259,0.33921001231745523,0.43068616181619473,-0.010222294198288387,0.037760221987789055,0.3008257582072247,-0.008966792929816296,0.6002080580455305,0.3088096535614891,0.10540102136877305,0.07023951850017682,0.21350060662509188,0.391032685588168,0.13738434441899952,0.058139237894135415,0.11047352665163115,0.2195698410931425,0.306465823745085,0.2584548040303031,0.4385308749972084,0.16709619789468272,0.4107484963119413,0.20833532550603973,0.6196637868978003,0.22325980813772717,0.28849912233008057,0.1134447959092708,0.09751415613142739,0.2603910701668623,0.09414459961131275,0.4749102913224721,0.04160210245438653,0.041516748486691034,0.24926519894607801,0.17657552704206506,0.2144120834370592,0.188687603230981,0.31711966055238466,0.24286736904193365,0.36562903985981293,0.3745290134419486,0.4586933426681122,0.2653184662433399,0.2794635799970006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
