weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.618538710648793,0.3326141971530463,0.5059646324994657,0.16253674246464647,0.267714877684064,0.04571768838666072,0.2422690456216594,0.6250397072855344,0.3513461221894654,0.0968575305548992,-0.5264451838890946,-3.0676835962082865,0.1699457322095155,-0.061124638166840446,0.11213430483742397,0.5821820906867764,-1.2010975823023515,0.12375471904464061,5.1542021376081015,0.8104832934304975,-0.6154861174439232,3.4159464908125323,-0.16701373184984403,1.1083369689043452,0.45003322476039664,0.10587668160399286,0.13783432060931608,-1.992512117327538,-0.029510087368383536,0.2510250396452598,-2.370912575793291,-0.4865176191246386,1.6188580162131938,1.8685256253154507,-1.1369189911491138,-0.8402828254932063,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0546304018596078,0.08117217657241184,0.3276348726001985,0.8441580610224289,0.06255968861234257,0.06888769153566292,0.10988651197666863,0.29754869322804617,0.13119815428565518,-0.24971170257337816,0.091836623924332,-0.06917416741663515,0.30696699225387336,-0.018338206528479277,0.2263397790383896,0.2633970858928842,-0.34989843656390707,0.20261349216349667,1.6532709362394526,0.0626791097362298,-0.2358599098359363,1.6141533055213613,0.02040234066779009,0.15054100910636026,0.19405424129314558,0.11463192414807573,0.04137019172807941,-1.0599213698298013,0.6633424320434942,0.1193309102088192,-0.744971307543561,-0.4564849654336559,0.44897021196573433,0.6662436778076407,-0.21493512665580233,-0.29032275362606574,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9787263048628834,0.21499826626644497,0.4670607273979252,0.25392959827816536,0.34425777683249614,0.37057053457638794,0.4573160456476048,0.11853621464207326,0.03465655979342017,-0.546061921390778,-0.6570702797567337,-2.8674428815068076,0.4512462923757848,0.0993472534586966,0.24553973984748104,0.37363136112757045,-0.9993661005697221,0.34991605688747335,4.9633316593729635,0.194407166433159,-0.8035939171459997,3.6883621848225703,0.26059492569684406,0.08899437467373018,0.30529266194539945,0.4566556541867766,0.24802382548764276,-2.1185842799111674,0.27774932453810314,0.18024168468240387,-2.1794624710321657,-1.0949266464876823,1.7677743139226219,1.8786678529871554,-1.0063110067280612,-0.8565264924877949,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5468382294311089,0.3188461602908727,0.961500030930628,-0.38248395607584007,0.11248913689924947,0.09142596983324595,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5239811164601702,0.0702714943983294,0.80317890317492,-0.2676970525382471,0.2178696387313351,0.06794428319560135,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24228979504334192,0.054573394129894495,1.7560876324455796,-1.7514815529026186,0.11648013758781664,0.1295268794850618,
finalKappa,0.08314236044914414,0.8230166730154017,0.32263573899234554,0.1573370161186877,0.33463258604666807,0.6137023336771115,0.3593083905474179,0.4670395963188153,0.18134569160512368,0.04069346180118347,0.21397415904124914,0.07540891532781589,0.6151996826474977,0.1316713959084825,0.44542250626628765,0.05054570789420931,0.1519926974268077,0.02876499099377504,0.17732479427513373,0.173523796515547,0.24443114421762288,0.30270840603491983,0.3672769561485708,0.1665258569670288,0.3939894115370598,0.47475304856340644,0.11941240432977811,0.07416228469325055,0.023457942883597573,0.6424519425883233,0.32172305988557176,0.11952402444231398,0.022051435913277385,0.2224000691742629,0.3956917538744101,0.4649773741055592,0.014536640980897813,0.05619775173536061,0.1446025179358603,0.12086403935998176,0.016832315444786847,0.10316886105745522,0.08475367216916663,0.08341817956926116,0.17551448741827094,1.1845795360821472,0.08235015521880092,0.07929659228153343,0.5197944615175791,0.15024103366873368,0.09369125845822435,0.056852083474166606,0.08535145959725812,0.2359300210851474,0.6228000058056776,0.31884870760288275,0.23649725393790877,0.12346851995168084,0.20432008902975035,0.5344953383636663,0.2423587231941864,0.15015099288419567,0.47124423861007336,0.19050695882253837,0.06345330252911467,0.6455098268128708,0.25305783314471325,0.14754578559322098,0.17793623096652436,0.3203195494193832,0.2404358278657431,0.1142098758940477,0.46120253014962076,0.33074841964392526,0.4143495062796824,0.25924543610388673,0.36090664981482873,0.3851325424563492,0.1688245885055086,0.2361364847476119,0.5812021960602273,-0.00838930337371907,0.009196602051895599,0.015143819206595403,0.1638956511927791,0.17652505802212448,0.11480626249148149,1.0092817485876,0.6279915924595147,0.03667060741680414,0.21837627476739171,0.03160691744816031,0.1378415553923092,0.2071309401451226,0.2418902109495559,0.3707873267158208,0.3357532933650673,0.1822861093310896,0.0061822726860719145,0.011690925758825986,0.24437094099936152,0.07961742952771017,0.12307354886361173,0.16116201887285087,0.02460262210189645,0.025206915262336305,0.5653817357554735,0.2554250612430967,0.00975096450426116,0.14272263507668317,0.038535728068989986,0.0038060275084293126,0.2183211497856137,-0.013762305938918055,0.01655475838030614,0.03373729978504893,0.18100648049872545,0.3289898552298809,0.22514948890346317,0.2414483666904716,1.1779758785001848,0.2290680926994341,0.251617155367049,0.38444866633904845,0.023478518808536804,-0.014948090736530839,0.27338134420079335,-0.009070121698733837,0.562119654366002,-0.019627930575333626,0.1520023255875953,0.11136538550765887,0.8326288318044665,0.35349955808974426,0.017452475453245752,0.25229461021752375,0.2861344803693539,0.3709192308324442,0.03338050303167303,0.2216840105683028,0.12375616664328676,0.12372568193126274,0.12090012834117153,0.20048902696239926,0.33559258494260935,0.26187725646492466,0.16036107021408819,-0.01479116229989673,0.08016379683612186,6.570703949769987E-5,0.05377104830794278,0.10999268620735624,0.1464663588210143,0.06692195010360621,0.7781408221381501,0.34815662177991397,0.05374859014398649,0.017979291876841056,0.19347068832193423,0.19187299102399755,0.5121296783342125,0.41675423284019364,0.20281792203557755,0.10988219379615521,0.8562340238798575,0.31203413783624034,0.2187522294470928,0.3070684476370213,0.6963222666098405,0.1594495780062236,0.7685950264973136,0.10499420594070155,0.16896275258791688,0.06491663745959123,0.0802254411693428,0.26528697674657137,0.1747074850275951,-0.012599165655463814,0.2328409691332552,0.37895841126891827,0.25824363946004836,0.2197374457853991,0.5699090767202651,0.14263368098041998,0.2743303612577169,0.25789446640529645,0.18015708591776328,0.236617067930384,0.14207571065078237,0.19447260267250277,0.5523010963710553,0.3472326765686297,0.18186057852971485,0.10053823070059233,0.08806607282773717,0.025053523537894976,0.03176723485619183,0.12105505140819589,0.03561659263369708,0.6519894097386206,0.33930979433501096,0.43097592165559095,-0.009927211597702892,0.03785734149683338,0.30092554022478046,-0.00886967342077199,0.6001200397252671,0.30713943289691553,0.10361419204308024,0.06809898296075391,0.21171377729939986,0.3891259900532533,0.13510738967784688,0.05599870235471232,0.10819657191047889,0.21693812945599233,0.29471718803930147,0.24606760308640496,0.4253561988283212,0.15470899695078516,0.39771004036776386,0.19443505622588234,0.6064891107289114,0.20935953885756986,0.27404896894488323,0.11345408773361043,0.09747510201740697,0.25979053891493054,0.09410554549729233,0.47482386517531183,0.04091820104892057,0.04091621723475969,0.24858129754061242,0.17541553515407776,0.20191639774572054,0.17548015406495404,0.3035404182144093,0.22965991987590678,0.3516947927949255,0.36015780706074035,0.4451141003301368,0.25094725986213157,0.2649605186008593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
