weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6212557243647499,0.14015897859068546,0.11494595437297976,0.14399411428123396,-0.0392557687627727,0.018871962616344447,0.21850067997494976,0.6093385519060667,0.4349993165805936,0.33142161141983717,-0.20376744990532833,-1.4454941539369217,0.06271090448732387,-9.129274845812822E-4,0.12185518326382822,0.3909814961397921,-0.3027046196501597,0.06968869439348672,2.4356433440363254,0.8578537276235348,-0.23429794351133246,3.3714669941382054,-0.09237719971517631,1.0641021041306993,0.13793041032357764,0.12272385326440766,0.05899473083869331,-1.3494894359128708,0.001260410599784377,0.15195835170367156,-0.9067962355101497,-0.14399797040042547,0.6148771782310518,0.9222607670820079,-0.4638250165552519,-0.3518975770266955,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8240017910203069,0.04699118448742255,0.24888833739439817,0.8401778575760227,0.004337655906886461,0.06311715146991694,0.10477315504749181,0.2940608614666975,0.1504924378684588,-0.16615969433482877,0.17052283753151984,0.32870081674663043,0.2830769851599881,-0.004061919584320146,0.22866277978226907,0.22078932302675403,-0.15180653401511182,0.1909733992896737,1.0337626342274777,0.07433163193533247,-0.16291083811747514,1.5907796013564395,0.041250515307304635,0.141011543268931,0.12847277287774644,0.1188999785264327,0.024267813126601617,-0.8942335239676122,0.670279194517265,0.09767849064672851,-0.3837144695998239,-0.3487419675163439,0.25414938357535566,0.45409336594956135,-0.06776794208905773,-0.17660518939035497,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968938447491181,0.039366033195349745,0.08964339855291398,0.2362432490393596,0.06427651547314414,0.34483692945241085,0.4341572512039687,0.1033471769709997,0.11614773877278352,-0.2628731025439535,-0.3492944580691734,-1.3228588572056295,0.35497325876311914,0.1573875018964933,0.25464562710533734,0.1902338191976939,-0.10364610244593012,0.2966724212249697,2.2806843757257895,0.23698186317594214,-0.41991757805437296,3.657329637864336,0.33492040286806396,0.04625667120010704,0.009090395731511835,0.47165849353577477,0.16855782130146732,-1.3897198042213728,0.3076823791056954,0.0826278716987392,-0.7572900910772554,-0.7414341638222169,0.7198354481385685,0.9326106827105713,-0.3644987809957223,-0.37725505059358216,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24809605168825727,0.303130085959662,0.9842655884236715,-0.11645786942416228,0.09086931461938609,0.06980614755338257,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23835856512999176,0.05508760584660311,0.8194016314889515,-0.006677915963564345,0.19708361436395738,0.04715825882822354,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09572882771827361,0.037222339970482084,1.8442141514790817,-1.410970249933151,0.0918407770316594,0.10488751892890448,
finalKappa,0.03501944483956226,0.7673648132975854,0.2843352346982594,0.10168515640087092,0.2709729538647009,0.5676539779648897,0.3210078862533319,0.42099124060658805,0.15520317244644932,0.04801599863520787,0.22028101660916996,0.08451721372641599,0.6215065402154192,0.13688462558334202,0.4533359003559324,0.059654006292809876,0.15990609151645113,0.040627818879512334,0.12305605491122287,0.11062969281818376,0.20374435111843012,0.23981430233755524,0.2952117139075352,0.11708049811229797,0.3533026184378676,0.4253076897086779,0.09511305471607857,0.06620140150127703,0.013648673427598037,0.6366390593797233,0.31191379042957235,0.10773322803919266,0.014304565048640144,0.21658718596566132,0.3879448830097724,0.4617407943646414,0.019044640816561563,0.06056136545391311,0.14950702525074583,0.12522765307853448,0.021035599676318704,0.10787952708343575,0.0896581794840518,0.08812884559524163,0.18101772915199782,1.1754061454506441,0.07099449369540162,0.07344846238829068,0.5084387999941783,0.13654402628722576,0.08560347868073716,0.05100395358092441,0.07726367981977103,0.2340051876965537,0.5559646169049314,0.24285158367992324,0.183241853808067,0.04747139602871945,0.1185917292463783,0.4719624231963963,0.18910332306434458,0.08761807771692649,0.4342597303063637,0.19291090388016174,0.06432823796785962,0.6509196767330477,0.2539327685834613,0.1467787729859484,0.18167084689171953,0.32572939933956446,0.24417044379093836,0.12374607038702223,0.3853225953224182,0.24442965760733965,0.3562172483826611,0.1729266740673026,0.26350802833227666,0.31654078453500256,0.11069233060848688,0.16754472682626972,0.5440137413875031,-0.001066766539694935,0.01550345961981712,0.024252117605195966,0.1702025087607,0.18173828769698397,0.12271965658112495,1.0183900469861982,0.6359049865491608,0.04853343530254145,0.228351443180377,0.041744187623389675,0.1481103945818518,0.2172682103203522,0.25219451051524483,0.3811384518209377,0.3460221325546107,0.19263723443620406,0.017127108496021407,0.01845461375183518,0.24981113260372673,0.08940198081172425,0.12851374046797487,0.16517631989223025,0.03291113458084501,0.03499146654634985,0.5736902482344249,0.26939970489353043,0.014258964339925132,0.147086248795237,0.043440235383875446,0.00816964122698199,0.2225244340171447,-0.009051639912937498,0.021459265695191302,0.038447965811029626,0.18650972223245227,0.3328656359483446,0.22912977456289482,0.24541491627540696,1.1819561641596137,0.23315695621925034,0.2556685213199554,0.3884152159239852,0.02752988476144178,-0.01080260801852182,0.2780375134868223,-0.004634766655284943,0.567541605865484,-0.015192575531884725,0.1561939713561389,0.11652481567502358,0.8380507833039484,0.3586589882571066,0.023908078214663023,0.2546985552751478,0.28700941580810196,0.3763290807526254,0.034255438470419064,0.2209169979610301,0.12749078256848229,0.1291355318514433,0.12463474426636746,0.21002522145537214,0.34448824792455857,0.2707966783237773,0.1699291425911096,-0.005871740441045668,0.08910168578067376,0.009586815942601233,0.06333912068496483,0.11951379511045936,0.15714870930717897,0.06781801781944483,0.777120496814485,0.35345120274326175,0.05272826482032512,0.014900373106900787,0.1967343963228925,0.19716757198734428,0.5153933863351712,0.427784428626525,0.14854918267166678,0.04698809009879093,0.8155472307806603,0.24914003413887584,0.14668698720605622,0.2576230887822928,0.6556354735106437,0.11000421915149368,0.7442956768836151,0.11175789393371033,0.17440294419228014,0.07470118874360528,0.08566563277370641,0.26930127776595164,0.18301599750654332,-0.002814614371450148,0.24114948161220368,0.39293305491935215,0.19612051517173976,0.14775398107316862,0.5255911902876521,0.07065021626819096,0.1918706707948657,0.20367827402123787,0.1358391994851448,0.1824008755463245,0.11888403320252268,0.1852992120410044,0.5409454348476544,0.3413845466753882,0.17050491700631504,0.08684122331908677,0.07997829305024994,0.01920539364465268,0.023679455078705263,0.11913021801960276,0.04027276191972562,0.6564247647820676,0.34473174583449573,0.43541127669904356,-0.005735565829160094,0.043016771664198046,0.30634749172426523,-0.003710243253407193,0.6065756424866842,0.2962200684962382,0.09011737585662107,0.0618557655766075,0.1982169611129401,0.3728627243780843,0.12626274148044003,0.04975548497056576,0.09935192371307097,0.21616067786485552,0.21883725321209857,0.15974884104982112,0.3672239409313002,0.06839023491420217,0.3003114188852117,0.12584329830454022,0.5483568528318885,0.14076778093622797,0.23686051427215685,0.11435015544944901,0.09645477669374498,0.2650851198782785,0.09308522017363034,0.47174494640537074,0.0441819090498804,0.04621079819810567,0.2518450055415709,0.18644573094040673,0.1150741216883705,0.07678049908808413,0.23911055651231652,0.13096026489903778,0.24042346070096024,0.28395464518455227,0.38068423862804335,0.17474409798594295,0.22669308493365922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
