weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26719572878501,0.7478401692126009,1.3989800633693665,0.19281988643478543,0.6673510047602778,0.09275713869525624,0.2863453538706868,0.6616109731840565,0.21369129926890912,-0.13743990280336735,-0.8426161466836184,-5.118055452201654,0.3626292290886306,-0.13541886445145354,0.09430162570073458,0.8090319682666303,-2.6883136891394526,0.22389488297818427,7.465481849989692,0.677950589533982,-1.3611998513988246,3.366710460447797,-0.16581055347056808,1.1804583095264924,0.8242659625863427,0.06089044640722833,0.2815642235600372,-2.465439417502854,-0.07066280825194333,0.41164316358054953,-4.769626053429978,0.46632943421221595,3.1633391635735157,3.3637111861823596,-2.1875066880838814,-1.4784562091473417,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1313499195194678,0.11631217711239879,0.421253591129253,0.8472889272592858,0.09254111559102916,0.07374032541411908,0.11455755427079951,0.30207369522073113,0.11490305721130717,-0.2850768651585868,0.051227028559868715,-0.3220593770521928,0.32897761292164485,-0.02766918079122961,0.22383840037127914,0.28774344553467196,-0.526863206145033,0.21320986164212924,1.9217688808696956,0.04735221878668593,-0.2997403440284065,1.5999573018371351,0.015690140186816928,0.15804582952579085,0.23262867416168814,0.10916483571269894,0.0565519841189961,-1.1751691472026258,0.6583195898271277,0.13654441734350642,-1.0669570000802366,-0.35889258154649606,0.5921993093045185,0.8412567059567533,-0.3248701617570642,-0.3656581018747036,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.614777327186295,0.597547071443502,1.315913473914902,0.2815287282694392,0.6911246034473579,0.4136933881461689,0.49862031860827877,0.15299682919959254,-0.09401258814066425,-0.8584130345908526,-0.9399624452775429,-4.760780087461715,0.6167153897906487,0.03172801689532515,0.2298608706990385,0.5830462166057679,-2.4282525839933538,0.4450118057697698,7.205407294286157,0.07290520575851178,-1.5136974905853147,3.625164212186533,0.2627670504439581,0.15579975010800085,0.6479961291184614,0.4158685149502414,0.3887302008235572,-2.6170951565471183,0.23923184317102406,0.3325802388790125,-4.412006526146509,-0.3049311019256625,3.3066963496950885,3.3248889450889103,-1.9583888825458968,-1.4578645484651127,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00564322368259,0.3430532352145728,0.9896807749972113,-0.8919623036433628,0.1292336568099169,0.10817048974391341,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9675305847856499,0.09393810704305283,0.8290924550543792,-0.7760693012063833,0.2341697156391636,0.08424436010342991,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742222086123785,0.07991547479939513,1.8176264080498405,-2.3136602886057758,0.13457130068396086,0.147618042581206,
finalKappa,0.15041525257464847,0.8963790762437049,0.39646392583571316,0.23069941934699426,0.4141554306390597,0.6940283777748176,0.43313657739078565,0.547365640416519,0.2630161465601072,0.016146986802408562,0.1895351055653963,0.055882630920784784,0.5907606291716454,0.10731170079741709,0.42623828711016304,0.031019423487178226,0.13280847827068173,0.014294245192267263,0.24369204252294327,0.24674283155399418,0.3111950522753166,0.37592744107336973,0.44743281380244754,0.24051971126902116,0.46075331959475335,0.5487469028654002,0.18741970928316729,0.08529692384516122,0.035565530128126,0.6561922719558072,0.3338306471300999,0.13262952403141864,0.036760303088449714,0.23614039854174304,0.4104006210495874,0.48257203884310634,0.010417497887562214,0.05206886153919874,0.14154540806761493,0.11673514916382091,0.012691440551788015,0.10012300048975349,0.0816965623009204,0.08037231900155943,0.17370452859670396,1.1943043040589638,0.09319240094658923,0.09041388138036946,0.5306367072453623,0.16222987858420992,0.10591270134356165,0.0679693725730025,0.09757290248259537,0.24959648992390632,0.7170963498773831,0.4204267086917454,0.3300956083315848,0.22504652104054518,0.31327717422240237,0.6357112973493068,0.33595707758786164,0.25136695186983915,0.5651274939926699,0.17147064324305572,0.04481617238927962,0.6298115855482823,0.23442070300487652,0.1292888337009579,0.16284798496303057,0.30462130815479077,0.22534758186224937,0.10181629784839648,0.5574004162400935,0.4350042499866423,0.5039146915634286,0.363501266446604,0.47333212345774445,0.48305902561362707,0.2583897737892553,0.334062967904891,0.664709070076037,-0.03293577837249395,-0.015242451423958359,-0.004382465200436022,0.13945659771692623,0.15216536291105975,0.09562204333535632,0.9897554641805779,0.6088073733033863,0.022199861615296062,0.20493402554584492,0.01791208973727975,0.1260981925616309,0.19343611243424305,0.22792690273224067,0.35886832538357194,0.32400993053438254,0.17036710799884286,-0.003944975758126429,-0.013952792587917049,0.21899809695446149,0.057644593457093066,0.09770070481871306,0.13603640027897898,0.0031262450093730862,0.003234079191717802,0.5439053586629554,0.23705373450869482,0.005631821410925473,0.13859374488052173,0.035478618200744105,-3.228626877325376E-4,0.21418027489261487,-0.0168081665066198,0.013497648512060475,0.030691439217347356,0.1791965216771584,0.32673565734145604,0.2228457921377782,0.23952186906219847,1.175672181734483,0.22671268716687656,0.2496501024378048,0.3825221687107692,0.02151146587929761,-0.016523404321548026,0.2687145742370573,-0.013722307789510144,0.5582685786297397,-0.02428011666610967,0.14736327000822044,0.10754800947747326,0.8287777560682041,0.34968218205955814,0.014582515804264333,0.23325829463804182,0.2674973502295159,0.3552209895678518,0.014743372891837815,0.20342705867603966,0.1086679206397941,0.10802744066667164,0.10581188233767908,0.1880954489167472,0.323145811943464,0.24923871475536963,0.14925760408693864,-0.027429704009450894,0.06731965416924605,-0.011158196228088758,0.0426675821807926,0.09876878293976946,0.1366098582908001,0.04743360103979281,0.7592235594084148,0.3307070264625816,0.03483132741425187,-3.809572428099782E-4,0.17679192557890389,0.17442339570666546,0.49545091559117554,0.4012242788399115,0.26918517028338623,0.1831012288346029,0.9229979319375435,0.38525317287469063,0.29890808710097244,0.381062301939013,0.7630861746675268,0.23344343230821588,0.8366023314507,0.07935048759395731,0.1435899085430168,0.04294380138897281,0.05485259712444444,0.24016135815270098,0.15323110793507277,-0.03457200172608245,0.21136459204073282,0.3605870845345152,0.3259189324053139,0.29504296998483487,0.6319217503828771,0.21793920517985457,0.35736529183145044,0.32788334132909863,0.24216975958037043,0.30660594285418535,0.19885094032897419,0.20419737064931642,0.5631433420988385,0.3583499656674675,0.19270282425750354,0.11252707561606799,0.10028751571307443,0.03617081263673081,0.04398867774152866,0.13472152024695366,0.030949822669958625,0.6473372236478495,0.33545871859875076,0.42632373556481357,-0.014566267177077784,0.034039965466646484,0.2970744644885203,-0.01268704945095857,0.5972500800762858,0.31592971853482565,0.11367436598398348,0.07709001971341771,0.2217739512403014,0.40048977731933266,0.14534436721254695,0.06498973910737547,0.11843354944518156,0.22720833805222673,0.39091507412977133,0.35032343342912214,0.5149213841120639,0.2589648272935026,0.5101355140106842,0.29236153938316023,0.6960542960126597,0.3072860220148471,0.3575558429606926,0.09396573866979713,0.07855783928767165,0.24234094359759525,0.0751882827675569,0.45646361605565977,0.024239438305888046,0.02346662191742878,0.23190253479758194,0.1598855811537972,0.30209392600203117,0.28450883901705565,0.39123098617452357,0.33868860482801055,0.46970063175870214,0.4569681184572938,0.5328046682902481,0.347757571258685,0.34034910570893856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
