weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.867797288793609,0.43804259427213543,0.7338123614480067,0.17183548228322135,0.35675012520437765,0.05879095041368826,0.255389801279817,0.6364236180757842,0.3102624292551984,0.06082133452208199,-0.6278719296286798,-3.69882790815863,0.22738728488862084,-0.0871592105063818,0.10082886004689795,0.6513240169172847,-1.652905885822597,0.15358071150707717,6.0463752746353885,0.7794862835419066,-0.8292691786628124,3.3746187287270795,-0.16730781705449216,1.1304984620675047,0.524957651299908,0.0953052926043836,0.17605326948426991,-2.2242119040812893,-0.04109009135998563,0.2944040328885089,-3.0360065814948785,-0.3278317901238461,2.1067280558006107,2.3149861290295513,-1.4447363179628003,-1.0347294346195477,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0905431061528317,0.09274455184318534,0.359073356743237,0.8454205939257159,0.07110075339255825,0.07063607726004689,0.111691995388306,0.29927722215085695,0.1250751275598743,-0.25960966742232083,0.07560044912572803,-0.167808582130163,0.3153599582719029,-0.022351289422693828,0.22474558516228313,0.27275624577109986,-0.41690558575166103,0.20671628482057702,1.7802307799775032,0.05801237099982279,-0.2608778806173829,1.6094664784565307,0.01858113673513237,0.1535667538288805,0.20354490270820036,0.11297233941007523,0.04658689758196085,-1.1092267296628433,0.6615421816749486,0.12530623413576233,-0.8560508178436214,-0.4361980432985925,0.5090139351116698,0.7325964154220858,-0.2571887632269557,-0.31929058982257136,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22433304535343,0.3115022700878409,0.6852878269955014,0.26250545626307314,0.4214359675931715,0.38268544766609286,0.46975852566480336,0.12933329731487714,-0.003999749630235679,-0.6057113662466816,-0.7493503215824094,-3.452461606988317,0.5013200872986229,0.07529598285578801,0.2353519826227239,0.43789670518672485,-1.4374557072896021,0.3785443439667981,5.824002369281219,0.16629171720145958,-1.009103269546586,3.6446342296225116,0.26011863487263187,0.10973625048429839,0.3733558336285295,0.4471795751823615,0.2856446449382341,-2.357847865647365,0.2668193766112192,0.22159260635273662,-2.804517903770267,-0.9656193639408382,2.2580922703536563,2.314206758844653,-1.2884921805584264,-1.0416433290560005,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6527003187336319,0.3264474491461367,0.9617301186672864,-0.5077168551730515,0.11865696341110632,0.0975937963451028,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6259629939651635,0.07769637588264051,0.8034960101279203,-0.3924439205080072,0.2238630550851519,0.07393769954941813,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35832408974728014,0.06251178063844329,1.7603238078684953,-1.8901607659388688,0.12315880677240695,0.13620554866965215,
finalKappa,0.1015308521134961,0.8437318052950765,0.34107721336316627,0.1780521483983658,0.3577448595234534,0.6345765133045782,0.3777498649182387,0.4879137759462798,0.19998934105657123,0.03449676805837401,0.2078777423966841,0.07039249256150061,0.6091032660029353,0.12567303749284103,0.4405866939825078,0.0455292851278941,0.14715688514303038,0.024898982877641335,0.19674468244283,0.19553888703270766,0.2622504391164154,0.3247234965520848,0.3919672804001378,0.187015655685122,0.41180870643585193,0.49524284728150064,0.13573613027506531,0.07656283883731765,0.026269689819908557,0.645423718789133,0.3245348068218817,0.1227628180990757,0.025449883790142135,0.22537184537507116,0.3990902017512747,0.4687888452271739,0.012894838743557667,0.054551885289666445,0.1433202648498498,0.11921817291428785,0.015181895025651516,0.10189524276382654,0.08347141908315567,0.08214456127563248,0.17463884471988536,1.1868827339658476,0.085122834401929,0.08179520281314162,0.5225671407007048,0.15350194533918082,0.09666622834314224,0.05935069400577467,0.08832642948217602,0.23888608090558708,0.6493144165728136,0.348138671885174,0.26111805103847535,0.1527584842339729,0.23647107815919488,0.5619538788249878,0.2669795202947525,0.17760953334552254,0.49410794871050717,0.18613129676059587,0.059296926122653484,0.641809350177929,0.24890145673825048,0.14361154310031052,0.17452174031167728,0.31661907278443746,0.23702133721089602,0.11115413079732267,0.4896646054407397,0.3622777294881965,0.43923016910245577,0.2907747459481582,0.39559834935067284,0.4131111008618614,0.19370525132828298,0.2641150431531253,0.6025979419501463,-0.014585997116528287,0.003100185407329803,0.010127396440280165,0.15779923454821404,0.17052669960648315,0.10997045020770375,1.00426532582129,0.6231557801757392,0.032804599300670194,0.21419372770445666,0.027325319040700857,0.13419937452280864,0.20284934173766378,0.23750367629219307,0.36707645610484446,0.33211111249556335,0.17857523872011283,0.00305162733873411,0.005389549415655092,0.23823266494285641,0.07408845462973292,0.11693527280710674,0.15518764414306624,0.019308328533173495,0.01967794036435838,0.5600874421867521,0.2506283194711519,0.008109162266921006,0.14107676863098897,0.0372534749829794,0.002160161062735099,0.2166707293664797,-0.015035924232547074,0.015272505294295443,0.032463681491419975,0.1801308378003398,0.3280506770261114,0.2241847249659976,0.24064412134976432,1.177011114562711,0.22807659125004554,0.25079233534924567,0.38364442099834223,0.0226536987907354,-0.015610460782732765,0.27161359511688715,-0.010831580868999885,0.5606262296854508,-0.02138938974559953,0.1502472525437368,0.10988908945418199,0.8311354071239153,0.3520232620362668,0.016277988499821063,0.2479189481555819,0.28197810396289125,0.3672187541974985,0.029224126625211972,0.21774976807539229,0.12034167598844038,0.1200252052963189,0.11748563768632532,0.19743328186567405,0.33177186238768674,0.25798423443106705,0.15696039020356778,-0.018684184333754537,0.07619380126382572,-0.003380185184918501,0.05037036829742191,0.10654679398294,0.14345605207385245,0.06268620588111747,0.7741959761956194,0.34417781315396834,0.04980374420145819,0.01433155004444096,0.18983993424181833,0.1878941823980554,0.5084989242540947,0.41299574646546255,0.2222378102032737,0.13189728431331596,0.8740533187786483,0.33404922835340556,0.24344255369866266,0.32755824635511416,0.7141415615086312,0.17993937672431679,0.7849187524426018,0.09869282959753052,0.16282447653141177,0.059387662561613534,0.07408716511283779,0.2593126020167882,0.16941319145887224,-0.018128140553441786,0.2275466755645323,0.3741616694969733,0.27931486171103903,0.24369166444030935,0.5876707579692848,0.1665878996353301,0.3012572145658364,0.27858287900318274,0.19791876716677995,0.2573054805282696,0.15659011006869164,0.19677580055620209,0.555073775554181,0.3497312871002371,0.18463325771284317,0.10379914237103864,0.091041042712655,0.027552134069503152,0.034742204741109395,0.12401111122863509,0.033848843549790196,0.6502279505683585,0.33781636965446193,0.4292144624853239,-0.01168228464156115,0.036381045443356054,0.2994321155442314,-0.01034596947424935,0.5989455527718419,0.3094985828210672,0.1065080272468939,0.07026400422474695,0.21460761250321192,0.39257644417559484,0.13780464929251943,0.0581637236187055,0.1108938315251511,0.21916764330945301,0.3231792633304203,0.27759691293067634,0.4502368616510944,0.1862383067950564,0.4324017399036081,0.22241361463139453,0.6313697735516847,0.23733809726308203,0.29544471483480317,0.1092183435111217,0.09353025607487876,0.255811730288985,0.09016069955476408,0.4711761233429111,0.03728744696880478,0.03693740860881735,0.2449505434604963,0.17165704877934743,0.23294886262433476,0.20989046726963909,0.32924661101900293,0.26407023308059296,0.3895878375781645,0.38924017401934186,0.47082029313473067,0.2800296268207332,0.2853978661448963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
