weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8756284424288348,0.44781361558126487,0.7419669797155698,0.17227336037759666,0.3595377033078571,0.05903098891695081,0.25590264845159966,0.6372367938023228,0.30864080294991975,0.06062207834881356,-0.632352941453137,-3.7209541834070974,0.23010515991101335,-0.08748479666701857,0.10079387784908884,0.6529702146174539,-1.670628085976114,0.15474619403177606,6.095634426554629,0.776881309644205,-0.8342132399380229,3.355115009429779,-0.168784202922846,1.1315415927463073,0.5254712575924468,0.09439716714236829,0.17715176336271538,-2.2486371963827816,-0.04157907632716622,0.2971955808979332,-3.060540819584487,-0.31432901020231285,2.127152351301592,2.3276841837546316,-1.455751438505381,-1.0414230649350127,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0915226620333933,0.09382272408251295,0.360141574391137,0.8454720572115776,0.0712721641170725,0.07066248763684756,0.11175308317853382,0.29938572171188055,0.12485104786418656,-0.25964611528120635,0.07495946351147512,-0.17080085371177267,0.31569861251248094,-0.022406014024024867,0.22473174713980013,0.27294743001355926,-0.41927642866586434,0.20685494194599918,1.7860762069171874,0.05768954693007248,-0.2614211453930186,1.6068924355254262,0.01833309914340095,0.15369013262611078,0.20353281098099132,0.11285697572855398,0.0467122582861432,-1.1150738263065685,0.6614727587633207,0.12566121039615288,-0.8603447000342769,-0.43452319844443654,0.5109990089104621,0.7342291449021009,-0.2585625613573465,-0.32021459543804137,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2320025830166155,0.3204874668752752,0.6930664378438173,0.26291181198339236,0.42365087183163275,0.3829049751936362,0.47024060837967596,0.13010166815528482,-0.005529110199161133,-0.6073052687946034,-0.7534081144138297,-3.472993719002205,0.5036622481179631,0.07499314573372466,0.23531997109342728,0.4394173610981966,-1.4545976025200034,0.3796539590066956,5.870889367465004,0.16382580717962103,-1.0140920537956506,3.6257375790412594,0.25874478507305354,0.11071941404960031,0.37356427164223277,0.4463275442317482,0.28672703664294,-2.384074098255521,0.2663560743331911,0.22422586434097033,-2.828503407424026,-0.9539920264761338,2.278071852242906,2.3265054550998636,-1.2985983809572261,-1.0479347549780884,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6568706654656467,0.32680717043759705,0.9532163083571333,-0.508049184232223,0.11866373682774775,0.09760056976174424,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6301090244055974,0.07805208028266797,0.7953541256269122,-0.39273814039905963,0.223869715528639,0.07394435999290525,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3622647230122831,0.06287119146762295,1.7498820242428474,-1.8918370021355695,0.12316578828016189,0.1362125301774071,
finalKappa,0.1030602013282937,0.8453875643362144,0.3421024166913884,0.17970790743950382,0.3595320046142849,0.635712429415802,0.3787750682464609,0.4890496920575032,0.20056577222687264,0.03408609348916661,0.20746600946976845,0.06995655766711843,0.6086915330760195,0.12526009206060365,0.44015021945250576,0.04509335023351191,0.1467204106130282,0.02444017449656514,0.19795916357977497,0.19687873236153636,0.26291244666960784,0.32606334188091335,0.39343749136681044,0.18778662280793007,0.41247071398904434,0.49601381440430875,0.1358990418402388,0.0764715802408025,0.02619123026220341,0.6452753608699482,0.3244563472641763,0.12269792683006765,0.02531140180298055,0.22522348745588652,0.3989517197641132,0.46860120263851845,0.012745931996722873,0.05440011119192069,0.14317536122055488,0.11906639881654218,0.015027183879990535,0.1017475047388574,0.08332651545386059,0.08199682325066333,0.17450007816476995,1.1867159868125272,0.08496854705940056,0.08156107037075824,0.522412853358176,0.15336091007316702,0.09644142494427252,0.0591165615633913,0.0881016260833063,0.23860204113966682,0.6508457828189725,0.3498054744515204,0.26207877224150095,0.15442528680031972,0.23827864601309964,0.5630328886561009,0.2679402414977781,0.1786885431766355,0.49455343612957425,0.18571936216804558,0.058886260832639696,0.6413558447034916,0.2484907914482366,0.14320212014035597,0.17406956822345773,0.316165567310001,0.23656916512267648,0.11066154509467248,0.49091623595872685,0.3636643954804564,0.4398622879418719,0.2921614119404182,0.3971253927222439,0.4138604208467204,0.1943373701676991,0.2648643631379843,0.6026640662824072,-0.014996671685735695,0.0026884524804142163,0.009691461545897936,0.1573875016212984,0.17011375417424576,0.10953397567770144,1.0038293909269085,0.6227193056457364,0.032345790919594025,0.21394190932111404,0.027066242592646648,0.1339615400757637,0.2025902652896096,0.23723700316168314,0.3668322938683381,0.3318732780485184,0.17833107648360644,0.0028262948903843227,0.004892754798957585,0.23773418775064525,0.07355606037925647,0.11643679561489542,0.15468733771172682,0.018774615021830674,0.019145546113881726,0.5595537286754085,0.2500620384505093,0.007960255520086211,0.1409249945332431,0.03710857135368444,0.0020083869649893107,0.2165160182208187,-0.015183662257516307,0.015127601665000438,0.03231594346645073,0.17999207124522443,0.32799380144301493,0.22412610636461255,0.24059145784517805,1.1769524959613233,0.22801616613898157,0.25073807202799403,0.38359175749375596,0.0225994354694842,-0.01565880042282472,0.2714446268700438,-0.011003641653370571,0.5604593445934538,-0.0215614505299702,0.15007202870080874,0.10971911331476361,0.8309685220319183,0.35185328589684844,0.016115199616111266,0.24750701356303162,0.2815674386728773,0.36676524872306204,0.02881346133519817,0.21734034511543773,0.11988950390022093,0.11957169982188202,0.11703346559810586,0.1969406961630241,0.3315185531725658,0.2577241375999102,0.1567174953126331,-0.018944281164911588,0.07592660584940952,-0.0036290381299554975,0.05012747340648734,0.10629794103790297,0.14322209754840007,0.062196741493956174,0.7737074287819833,0.34363615738829056,0.04931519678782215,0.013843910324482326,0.18929907575826987,0.18735252663237778,0.5079580657705461,0.4124038835433311,0.22345229134021868,0.13323712964214468,0.8747153263318412,0.33538907368223403,0.2449127646653351,0.3283292134779222,0.7148035690618241,0.1807103438471249,0.7850816640077753,0.09819603498083293,0.1623259993392006,0.05885526831113687,0.07358868792062648,0.2588122955854488,0.16887947794752955,-0.01866053480391844,0.22701296205318963,0.37359538847633067,0.2802319189418662,0.24473332614381968,0.5879862151747177,0.1676295613388404,0.3024284875240268,0.2790058590767469,0.1982342243722124,0.25772846060183385,0.1563553343506868,0.19660905340288296,0.5549194882116523,0.3494971546578539,0.18447897037031497,0.10365810710502471,0.09081623931378527,0.02731800162711977,0.034517401342239656,0.12372707146271494,0.03367987530294675,0.6500558897839886,0.3376494845624655,0.42904240170095304,-0.011857508484489214,0.03621106930393767,0.29926523045223496,-0.010515945613667699,0.5987827638881323,0.30926058156444214,0.10628231170363417,0.06994803769808186,0.21438189695995213,0.39236383653663554,0.1374976083599945,0.057847757092040465,0.11058679059262626,0.21879096663150985,0.32443089384840745,0.27898357892293635,0.4508689804905105,0.1876249727873169,0.43392878327517914,0.22316293461625342,0.6320018923911,0.2380874172479409,0.29551083916706367,0.1087288791239604,0.09304170866124269,0.25527007452330724,0.089672152141128,0.4706884836229525,0.03674658848525627,0.03639575284313972,0.24440968497694784,0.17106518585721614,0.2339370286500293,0.2110135195131625,0.3295656252620743,0.26519328532411696,0.39085111026977803,0.38967558500668353,0.471139307377802,0.28046503780807497,0.28509932997460086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
