weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.284951437144983,0.22055529376073435,0.26352576880534084,0.1534228353085643,0.1112867239984227,0.03191249820407691,0.23021468128187716,0.6171958961015108,0.3903275478567221,0.11117185245601069,-0.3872328728694692,-2.3502211176407157,0.11185444547495464,-0.03326326553702214,0.11888856579372116,0.4874199530845949,-0.7602377439542022,0.0963428325601658,3.9494443089153886,0.8344036797948479,-0.419914838040191,3.5186577292899854,-0.13886114582889053,1.08660413288009,0.2932350356409016,0.11418590295466652,0.0972005024640866,-1.6703389139597258,-0.012762334234667745,0.20409361631866232,-1.6618944944148772,-0.43856127334494366,1.0896696728194908,1.4092284071548078,-0.7990039019273357,-0.6122210514226534,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9931453872155934,0.06415471688240625,0.284534446867589,0.8425325454908559,0.038813548912472566,0.06642629017291837,0.10772322646889469,0.2960175479833611,0.1388003085969342,-0.2361527596616142,0.12036127105467942,0.07821005795613695,0.2959767809002868,-0.01275718218775664,0.22768960800697174,0.24593179920885133,-0.26736700047708006,0.1976905585992882,1.4288736658430834,0.0677795371051873,-0.20652987618074406,1.629840938031299,0.02737685989642426,0.1466461337153509,0.16710989634394313,0.11647343412047137,0.033981008682498835,-0.9896789150045041,0.6665210038120888,0.11081536546496722,-0.5966945363840809,-0.4395535059621037,0.36221449138347045,0.5788688520850408,-0.15436580211464956,-0.246476001781527,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.645931872324666,0.11345174224396382,0.23509905324988953,0.2453526551794825,0.20434987853278994,0.3575278518244514,0.44572531759537215,0.11099977124939293,0.07202024686329102,-0.49786032900412225,-0.5267004351825638,-2.190348821700069,0.39979616923106526,0.1257581631576832,0.25177264916036923,0.28397048803729397,-0.5656492035871333,0.32326029887949637,3.7884243774353448,0.21621140991471519,-0.6094045830902255,3.7906003203872607,0.28817148983522456,0.06826280820178439,0.1593963711382187,0.4641487191554724,0.20750794025050265,-1.7764884824916103,0.29382783029829773,0.13464838152432956,-1.5001981341963362,-1.0354625775247182,1.2261904959609202,1.4245791052561587,-0.6892235322744606,-0.6358211024536733,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38433583635436747,0.31117122311690726,1.0108647895485952,-0.28403442445116384,0.10255709046271912,0.0814939233967156,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3664166454480871,0.06274843976943506,0.8506226452030379,-0.16566117988338577,0.20817399865834013,0.058248643122606296,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06819977702017653,0.04659174698914899,1.8252434534715303,-1.6432948696638308,0.10583271540144953,0.11887945729869462,
finalKappa,0.058401615757083795,0.795030366273107,0.30224531501304097,0.12935070937639326,0.3032128348938207,0.5900902215749455,0.33891796656811357,0.44342748421664807,0.16568656594636716,0.044642423604395,0.21772075423650003,0.07918804577036241,0.6189462778427468,0.13520481846415106,0.44892134761152835,0.0543248383367557,0.155491538772048,0.03259156318530189,0.15144676532638182,0.1440480019979,0.2245445434188037,0.273232611517271,0.3339939150104968,0.1431195955704081,0.3741028107382415,0.45134678716678545,0.10592514343305832,0.06994868639019444,0.01858265413260089,0.6387643449219967,0.3168477711345766,0.11394454391535153,0.01770285027434285,0.21871247150793102,0.3913431682354762,0.46173199564939876,0.016278698296957973,0.05795135374962191,0.14612197462861135,0.12261764137424279,0.01859784909626226,0.10467869481216571,0.0862731288619172,0.08492801332397162,0.17681724543221827,1.180383160433526,0.07740598274016486,0.07607023391607606,0.5148502890389429,0.14449949066217374,0.08973575413541522,0.05362572510870985,0.08139595527444903,0.2335892556617952,0.5902106182107121,0.28237330108301123,0.21022842780337508,0.08699311343180895,0.16373677445003662,0.5044389808644281,0.21608989705965276,0.12009463538495689,0.45165734614996483,0.19259008237936115,0.06515467729012908,0.6479930212993218,0.2547592079057295,0.14884283701633966,0.1799842232309251,0.3228027439058364,0.24248382013014397,0.11730467062361213,0.42625505281803794,0.29149971628365506,0.38752363761634506,0.21999673274361672,0.3171119720808325,0.3541624163262984,0.1419987198421709,0.2051663586175627,0.5628810649033583,-0.004440341570507787,0.012943197247147344,0.01892294964914189,0.16764224638803005,0.18005848057779295,0.11830510383672235,1.0130608790301479,0.6314904338047564,0.040497179608330984,0.2228372237447722,0.0362370120547112,0.14184450337021542,0.21176103475167363,0.24670096614553866,0.3749127114477185,0.3397562413429737,0.18641149406298801,0.009823886929206582,0.015879024224160924,0.24827921682111304,0.08408570191192873,0.12698182468536326,0.16477317201789135,0.02872956423299281,0.029675187646554423,0.56950867788657,0.26040120197683453,0.01149302182032142,0.14447623709094456,0.04005518476174075,0.005559629522690575,0.22008668343708918,-0.01225247218420733,0.018074215073056718,0.03524713353975961,0.18230923851267272,0.3303841797201752,0.2266071360824665,0.24267545358157727,1.1794335256791937,0.23059296181347624,0.2528955797245113,0.3856757532301544,0.02475694316599839,-0.013878361077185436,0.27530268856718104,-0.007150486371886539,0.5639266037094492,-0.017708295248486265,0.15391922253873389,0.11315368929196203,0.8344357811479137,0.35528786187404787,0.01915212122121879,0.25437773377434847,0.28783585513037013,0.37340242531889734,0.03508187779268815,0.22298106199142131,0.12580415890768787,0.12620887641771317,0.12294812060557324,0.20358382169196218,0.33968047543662905,0.26609233413217087,0.16413961389168033,-0.010576084632651804,0.08451463649600717,0.003931088816713618,0.05754959198553508,0.11385806798457174,0.15003190006392025,0.06888459840140765,0.7796191342843659,0.3510266040847552,0.05522690229020293,0.018942738590960104,0.19582229113020705,0.19474297332883855,0.5144812811424864,0.4207485757695647,0.17693989308682573,0.08040639927850686,0.8363474230810314,0.28255834331859153,0.1854691883090179,0.28366218624040046,0.6764356658110146,0.13604331660960292,0.7551077656005974,0.10918230440603643,0.17287102840966845,0.06938490984380975,0.08413371699109405,0.2688981298916115,0.17883442715869133,-0.008130893271245651,0.23696791126435157,0.3839345520026561,0.2305287637227016,0.18802754989504428,0.5499854808354326,0.11092378509006566,0.23839362226865823,0.2341118743053036,0.1602334900329319,0.2128344758303904,0.13037641008132606,0.1902762270238886,0.5473569238924191,0.3440063182031739,0.1769164060510791,0.09479668769403317,0.08411056850492803,0.02182716517243829,0.02781173053338318,0.11871428598484439,0.03753793700008433,0.6539090450654663,0.34111674367846107,0.4328955569824396,-0.008010314646565023,0.03964564528113684,0.30273248956823057,-0.00708136963646859,0.6018196854932378,0.3027735563196515,0.09839701067494246,0.0652005955880494,0.20649659593126213,0.3829997466402046,0.13139694359430729,0.0531003149820078,0.10448612582693836,0.21541861666473539,0.25976971070771854,0.20681889972613507,0.398530330164984,0.11546029359051563,0.35391536263376777,0.1634649300958331,0.579663242065571,0.17838941272752076,0.2557278377880123,0.11541673603141189,0.09895341416362312,0.26266052121977185,0.0955838576435085,0.4757873118894309,0.04326980385719499,0.04378619953960006,0.250932900348885,0.17940987808344677,0.1638534764047174,0.13265565525798748,0.2755647989508963,0.18683542106894022,0.30384077133341675,0.3276393172628236,0.4171384810666236,0.21842877006421374,0.24747644606128705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
