weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2531237701383113,0.14009966187029693,0.03328840001677623,0.13467217468476195,-0.02702186921277689,0.006600176853466971,0.20279105334557262,0.5842953530526823,0.500250044891691,0.6624033181102783,0.11354138270848056,-0.07451596433930854,0.0048234751643407405,0.04763033695066685,0.13367210892563555,0.27004669646992646,0.20606629106545868,0.03391009886427586,0.6334909964943556,0.8593232045148861,0.1582340134285203,0.8487621599851171,0.02073211332819557,1.041831267717198,0.18947431807982873,0.12271325088250629,0.01830357723696704,0.0109939247077807,0.024604660931774464,0.0990597741990197,-0.03469628185991598,0.5510291419189821,0.09275746868344131,0.1878207004926672,0.0890137893267653,0.09150770599376427,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23285304138521784,0.05796013539853987,0.22110239822703698,0.8362988805385692,0.03621736982468767,0.05790903024173081,0.09800666010655132,0.2828718306603325,0.18000656624626524,0.004494210519156754,0.3171350940358461,0.9496420857304139,0.25944079269566483,0.01812044507897686,0.2341572121818197,0.17046515250390099,0.05291286554216469,0.1755839275918974,0.27077996058081777,0.07636502358230332,0.01648216345070749,0.3669300958736735,0.09581172643395654,0.13175575242160795,0.18078402590987735,0.1194542173017686,0.00701885197689269,-0.18082060093315647,0.6808695542480314,0.07527550276291861,0.02283655173632206,-0.0070554570994224445,0.061132267832171995,0.13773150938417728,0.18188298382052934,0.02093135206071169,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5120054536163958,0.053299432117820164,0.015257605718271986,0.22677587576656286,0.08906569861023311,0.3322658097158184,0.4178915852200532,0.07790061745583453,0.18432577263014907,0.09234080462024971,-0.020045312684305202,0.0364068646233837,0.30028992278564065,0.20807252406041216,0.26690919276885294,0.06686100152306315,0.4337600398574422,0.25928783118513815,0.4023217811377544,0.23388265724443916,0.0036904129413457584,1.012841973234062,0.4566600358376417,0.023379402684797386,0.07429360752324547,0.47006004111863187,0.12521575878049143,0.20061123850134352,0.33208704520755084,0.027228785209587686,0.13899029164059706,-0.04205095309716313,0.11918109226630491,0.15716476727698184,0.20231919665031753,0.08871967211240875,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28397842504670673,0.2951528606116754,0.16356732799344317,0.6531701172166223,0.07338622242417077,0.052323055358167246,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26158214038411737,0.04825222819551267,0.12339434118536198,0.6237057542906373,0.18214190678722747,0.03221655125149367,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03552486541809991,0.02483299508149247,0.5317143061345363,-0.16281637500121945,0.06453333158448309,0.07758007348172817,
finalKappa,0.014465524502190569,0.7410075909065932,0.25171982682162425,0.07532793400988146,0.23873815638986567,0.5266715158616582,0.2883924783766969,0.3800087785033553,0.10497872444779068,0.0544749240551223,0.2240686672141385,0.08902127876223062,0.6252941908203848,0.1379798931843283,0.45385156141539695,0.06415807132862447,0.16042175257591715,0.04136360217848618,0.09224354759132813,0.072698955224271,0.15630560636472277,0.20188356474364333,0.25007327006509383,0.05946075872217442,0.30586387368416496,0.36768795031855683,0.02418919050932998,0.06630071083243512,0.011028185688461789,0.6321853781010943,0.30929330269043487,0.10236775065807516,0.005824777977146327,0.21213350468703052,0.37946509593827765,0.44957070644057756,0.02874232976559644,0.06896405348579174,0.15927882246620212,0.13363034111041355,0.028138626502277796,0.11568946634225585,0.09942997669950779,0.09593878485406182,0.19012487589923519,1.1719781560668334,0.0641922716133553,0.06290109680333496,0.5016365779121319,0.12633609783105867,0.07009113245533394,0.04045658799596884,0.061751333594367866,0.21190679520879718,0.5198738252125071,0.19965516438190342,0.12840163574894023,0.004274976730699978,0.06819846058986981,0.40697639378682804,0.1342631050052179,0.022632048307358606,0.3528747607913328,0.1939007768008188,0.06199917170915553,0.6465985569159894,0.2516037023247564,0.14110269773599027,0.17244012185837979,0.32140827952250933,0.2349397187575986,0.11063071096180646,0.3349699266227565,0.18539057441773335,0.28110314921606655,0.11388759087769644,0.1956741960497927,0.22912608743531576,0.035578231441896147,0.08013002972658487,0.4350789084441891,0.005392158880219056,0.019291110224785673,0.02875618264101007,0.1739901593656685,0.18283355529797024,0.12323531764059076,1.022894112022019,0.636420647608626,0.04926921860151529,0.2415405351935935,0.053659199823033056,0.16280537778299187,0.22918322251999634,0.2628328706568002,0.3938858209576474,0.3607171157557521,0.2053846035729177,0.033362396965235665,0.022421326535470253,0.25045171741399314,0.08928531288026884,0.12915432527824017,0.16246376176957592,0.027863505925317326,0.03487479861489452,0.5686426195788966,0.26232284128707073,0.02395665328895993,0.15548893682711612,0.05321203259933143,0.016572329258860853,0.22962746084310495,-0.0012417006541175035,0.031231062910647332,0.046257905069849684,0.19561686897968963,0.3439571634380704,0.2395688974459084,0.2579542442071828,1.192395287042628,0.24294493987409674,0.26720609509073817,0.40095454385576146,0.03906745853222682,0.0034033865064861807,0.28766581187666124,0.0033713529933290178,0.5761456062242104,-0.007186455883270841,0.16257150796691291,0.1226862119764739,0.8466547836626749,0.3648203845585559,0.030019464291675655,0.25568842819580345,0.2846803495493977,0.3720079609355704,0.03192637221171442,0.21524092271107198,0.11826005753514277,0.12481441203438659,0.11540401923302801,0.19690986203015645,0.35649273982344226,0.2812036580737716,0.18189238082535047,0.004535239308948868,0.097906446856456,0.019131471499019163,0.07530235891920593,0.1290584506668768,0.16814235090398832,0.06457621724972328,0.7697556726763107,0.3418233590476534,0.04536344068214512,0.003377288196735338,0.17904881862745192,0.18553972829173435,0.49770780863973296,0.40293823510943394,0.11773667535177304,0.009057352504877911,0.7681084860269521,0.2112092965449638,0.10154854336361478,0.20000334939217101,0.6081967287569355,0.0523844797613701,0.6733718126768632,0.11572460671734511,0.17504352900254588,0.07458452081214983,0.08630621758397307,0.26658871964329783,0.17796836885101566,-0.002931282302905703,0.23610185295667582,0.3858561913128925,0.15204139211808973,0.09497107345175601,0.45924787627727565,0.01786730864677664,0.13027762608934565,0.12499155912432093,0.06949588547477051,0.10371416064940794,0.02226775016750641,0.18187122265719569,0.5341432127656063,0.33083718109043303,0.16370269492426961,0.07663329486291838,0.06446594682484674,0.008658028059697087,0.008167108853302206,0.09703182553184689,0.049901060309564566,0.664430884430683,0.3533357461932149,0.44341739634765565,6.419707816135807E-4,0.04917816796564828,0.3149514920829845,0.002451153048042757,0.6126870285636953,0.28791444676469313,0.0776318969356557,0.04307469419383692,0.18573148219197463,0.35615849469729766,0.10136817342172931,0.03097441358779522,0.07445735565435994,0.18099475792986527,0.168484584512437,0.10070975786021504,0.29210984176470556,0.009351151724595344,0.23247758660272927,0.03842860120485522,0.4732427536653013,0.053353083836543316,0.1279256813288466,0.11110835487972763,0.08908995255556475,0.25345727618267033,0.08572039603545017,0.46022186149520583,0.026496331354439153,0.034582954502496335,0.23415942784613014,0.16159953742331512,0.04670398890181708,-0.0021694883854912897,0.13879975806833902,0.05201027742546246,0.15076673023151121,0.1687963007067763,0.2803734401840647,0.059585753508167326,0.08459487915144641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
