weights,lambda_0/1,lambda_1/1,lambda_2/1,lambda_3/1,lambda_4/1,lambda_5/1,lambda_6/1,lambda_7/1,lambda_8/1,lambda_9/1,lambda_10/1,lambda_11/1,lambda_12/1,lambda_13/1,lambda_14/1,lambda_15/1,lambda_16/1,lambda_17/1,lambda_18/1,lambda_19/1,lambda_20/1,lambda_21/1,lambda_22/1,lambda_23/1,lambda_24/1,lambda_25/1,lambda_26/1,lambda_27/1,lambda_28/1,lambda_29/1,lambda_30/1,lambda_31/1,lambda_32/1,lambda_33/1,lambda_34/1,lambda_35/1,lambda_36/1,lambda_37/1,lambda_38/1,lambda_39/1,lambda_40/1,lambda_41/1,lambda_42/1,lambda_43/1,lambda_44/1,lambda_45/1,lambda_46/1,lambda_47/1,lambda_48/1,lambda_49/1,lambda_50/1,lambda_51/1,lambda_52/1,lambda_53/1,lambda_54/1,lambda_55/1,lambda_56/1,lambda_57/1,lambda_58/1,lambda_59/1,lambda_60/1,lambda_61/1,lambda_62/1,lambda_63/1,lambda_64/1,lambda_65/1,lambda_66/1,lambda_67/1,lambda_68/1,lambda_69/1,lambda_70/1,lambda_71/1,lambda_72/1,lambda_73/1,lambda_74/1,lambda_75/1,lambda_76/1,lambda_77/1,lambda_78/1,lambda_79/1,lambda_80/1,lambda_81/1,lambda_82/1,lambda_83/1,lambda_84/1,lambda_85/1,lambda_86/1,lambda_87/1,lambda_88/1,lambda_89/1,lambda_90/1,lambda_91/1,lambda_92/1,lambda_93/1,lambda_94/1,lambda_95/1,lambda_96/1,lambda_97/1,lambda_98/1,lambda_99/1,lambda_100/1,lambda_101/1,lambda_102/1,lambda_103/1,lambda_104/1,lambda_105/1,lambda_106/1,lambda_107/1,lambda_108/1,lambda_109/1,lambda_110/1,lambda_111/1,lambda_112/1,lambda_113/1,lambda_114/1,lambda_115/1,lambda_116/1,lambda_117/1,lambda_118/1,lambda_119/1,lambda_120/1,lambda_121/1,lambda_122/1,lambda_123/1,lambda_124/1,lambda_125/1,lambda_126/1,lambda_127/1,lambda_128/1,lambda_129/1,lambda_130/1,lambda_131/1,lambda_132/1,lambda_133/1,lambda_134/1,lambda_135/1,lambda_136/1,lambda_137/1,lambda_138/1,lambda_139/1,lambda_140/1,lambda_141/1,lambda_142/1,lambda_143/1,lambda_144/1,lambda_145/1,lambda_146/1,lambda_147/1,lambda_148/1,lambda_149/1,lambda_150/1,lambda_151/1,lambda_152/1,lambda_153/1,lambda_154/1,lambda_155/1,lambda_156/1,lambda_157/1,lambda_158/1,lambda_159/1,lambda_160/1,lambda_161/1,lambda_162/1,lambda_163/1,lambda_164/1,lambda_165/1,lambda_166/1,lambda_167/1,lambda_168/1,lambda_169/1,lambda_170/1,lambda_171/1,lambda_172/1,lambda_173/1,lambda_174/1,lambda_175/1,lambda_176/1,lambda_177/1,lambda_178/1,lambda_179/1,lambda_180/1,lambda_181/1,lambda_182/1,lambda_183/1,lambda_184/1,lambda_185/1,lambda_186/1,lambda_187/1,lambda_188/1,lambda_189/1,lambda_190/1,lambda_191/1,lambda_192/1,lambda_193/1,lambda_194/1,lambda_195/1,lambda_196/1,lambda_197/1,lambda_198/1,lambda_199/1,lambda_200/1,lambda_201/1,lambda_202/1,lambda_203/1,lambda_204/1,lambda_205/1,lambda_206/1,lambda_207/1,lambda_208/1,lambda_209/1,lambda_210/1,lambda_211/1,lambda_212/1,lambda_213/1,lambda_214/1,lambda_215/1,lambda_216/1,lambda_217/1,lambda_218/1,lambda_219/1,lambda_220/1,lambda_221/1,lambda_222/1,lambda_223/1,lambda_224/1,lambda_225/1,lambda_226/1,lambda_227/1,lambda_228/1,lambda_229/1,lambda_230/1,lambda_231/1,lambda_232/1,lambda_233/1,lambda_234/1,lambda_235/1,lambda_236/1,lambda_237/1,lambda_238/1,lambda_239/1,lambda_240/1,lambda_241/1,lambda_242/1,atomLambda_1/1 = c_28/1,atomLambda_2/1 = c_14/1,atomLambda_3/1 = c_16/1,atomLambda_4/1 = n_31/1,atomLambda_5/1 = o_40/1,atomLambda_6/1 = i_95/1,atomLambda_7/1 = o_51/1,atomLambda_8/1 = c_25/1,atomLambda_9/1 = n_36/1,atomLambda_10/1 = c_21/1,atomLambda_11/1 = cl_93/1,atomLambda_12/1 = n_34/1,atomLambda_13/1 = o_52/1,atomLambda_14/1 = o_41/1,atomLambda_15/1 = br_94/1,atomLambda_16/1 = c_194/1,atomLambda_17/1 = n_35/1,atomLambda_18/1 = o_49/1,atomLambda_19/1 = c_29/1,atomLambda_20/1 = o_45/1,atomLambda_21/1 = n_32/1,atomLambda_22/1 = c_27/1,atomLambda_23/1 = f_92/1,atomLambda_24/1 = c_19/1,atomLambda_25/1 = n_38/1,atomLambda_26/1 = h_8/1,atomLambda_27/1 = c_232/1,atomLambda_28/1 = c_22/1,atomLambda_29/1 = o_42/1,atomLambda_30/1 = c_230/1,atomLambda_31/1 = h_3/1,atomLambda_32/1 = c_26/1,atomLambda_33/1 = c_10/1,atomLambda_34/1 = c_195/1,atomLambda_35/1 = h_1/1,atomLambda_36/1 = o_50/1,bondLambda_1/1 = 2/1,bondLambda_2/1 = 3/1,bondLambda_3/1 = 7/1,bondLambda_4/1 = 1/1,bondLambda_5/1 = 4/1,bondLambda_6/1 = 5/1,
atomKappa_1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15906315891004041,0.15023261611978533,0.031166628665745932,0.13428322708237594,0.0015860806304743846,0.006118159220623198,0.2020460083732427,0.5808711436166103,0.503794084159054,0.6699826176672623,0.14141256354760046,0.005577030871528166,0.0021453581981951686,0.051765988781648176,0.1344519447528416,0.2639889672580402,0.22754804043276344,0.03221152279397366,0.5629245386084385,0.860289750048894,0.20164005968422316,0.46807618960890984,0.03174411809629163,1.0409006044612052,0.22833367840012286,0.12312743814364957,0.01658845168252654,0.24842680351320112,0.02631334631524318,0.0964904011547354,0.01876808600127866,0.5920400487182924,0.0850938869479112,0.13623218594963227,0.13241607373218933,0.12714608790844295,0,0,0,0,0,0,
atomKappa_2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14383871540944426,0.06859112398276501,0.2192896871055794,0.8359308445895035,0.06940349770943577,0.05746124269734665,0.09731782340655926,0.2798949576898586,0.18340799361661198,0.018159647343306773,0.34440672404188355,1.0299375752964686,0.25711116358416675,0.02220544548986325,0.2348668612630771,0.16461456553691,0.07318545749219574,0.1740117470482634,0.20207515821227595,0.07770753845452028,0.05875640990206321,0.021851149169187067,0.10625498564730051,0.13087415282719483,0.22581315985491202,0.12001157783207717,0.005343780417961241,0.09529805715656359,0.6825819593978615,0.07277090620585014,0.09009684928402706,0.03935209433560516,0.05857190260769585,0.0897454623470324,0.22402592180149838,0.056158060313732605,0,0,0,0,0,0,
atomKappa_3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40333338664958696,0.06602978732770026,0.013579761289655323,0.22634278579919354,0.12388509296538608,0.33172465862804046,0.41705222885800985,0.07421016242835243,0.18831403283104642,0.1021267271151185,0.011998180576103579,0.12220537613254834,0.2976128042087627,0.21288253944097058,0.2677524758458887,0.060044470843692466,0.4588054635721779,0.25736261514909664,0.32172369870226447,0.2347426378213182,0.054059403726466115,0.5835385645681761,0.4695238352090385,0.022335489090032468,0.12202661196577225,0.4704515610374216,0.1232207244128265,0.4992552331974771,0.3340786007227319,0.024262507614986717,0.20350588320307672,0.0027828362225932324,0.1076194980317382,0.0982924589792109,0.25127648309119266,0.12995511225905787,0,0,0,0,0,0,
bondKappa_1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3317140245082655,0.29463749273969597,0.030786589182882906,0.8693512192201389,0.07184770970691723,0.0507845426409137,
bondKappa_2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3002591699859902,0.04782731389573058,0.011017020885750739,0.7999087773430897,0.1808713168349101,0.03094596129917626,
bondKappa_3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001284122616553418,0.024345189030668735,0.34115150632802305,0.0075793204260872216,0.0630467814689748,0.07609352336621988,
finalKappa/1,0.01851354504304581,0.7442478065572669,0.2505075823234755,0.07856814966055481,0.24120468365827286,0.5247483929427155,0.28718023387854785,0.37808565558441387,0.09848427336467047,0.062120116672229386,0.23085723060550478,0.09162140732658663,0.6320827542117531,0.14394931779918885,0.4557034118166712,0.06675819989298049,0.1622736029771925,0.038991818150398316,0.09820520795533483,0.07756674200773084,0.15532172523745835,0.2067513515271031,0.253893332238178,0.05751505015046732,0.30487999255690035,0.3657422417468492,0.016256794796635887,0.0731452515775981,0.017038805808144986,0.6340749075350764,0.3153039228101182,0.1075810882238688,0.006986378770305279,0.21402303412101276,0.38062669673143645,0.44657273938543796,0.03890934424968684,0.07824027229768404,0.16462206393719825,0.14290655992230583,0.036564273632659905,0.12025973751566532,0.10477321817050367,0.10050905602747129,0.19079857809905043,1.1815481348921661,0.07263227009729434,0.0659046548983202,0.5100765763960702,0.13369548184684454,0.07210840849284672,0.043460146090954055,0.06376860963188058,0.20845417795242227,0.5254360679280374,0.20413608200381717,0.1270689543153587,0.008755894352614035,0.07164371239026401,0.40469297526516357,0.13293042357163642,0.020348629785694072,0.34463911757025123,0.2040924169222169,0.07104419872285916,0.6501571278921858,0.2606487293384596,0.14905103498063532,0.174997223373893,0.3249668504987042,0.2374968202731118,0.10766798491022911,0.3431985815256784,0.19216172756720695,0.2802464420127375,0.12065874402716936,0.20104843831416552,0.22698677215420737,0.03472152423856656,0.07799071444547678,0.42515462721368813,0.0130373514973261,0.026079673616152377,0.03135631120536608,0.18077872275703477,0.1888029799128308,0.12508716804186548,1.0254942405863758,0.6382724980099006,0.04689743457342743,0.25254097257375285,0.0637449541577162,0.16889121943314578,0.23926897685467985,0.27204507423738455,0.39917735537659915,0.3668029574059055,0.2106761379918698,0.034694705564234596,0.03304106832887399,0.2599114809003087,0.09322026789098103,0.13861408876455528,0.17081399544216858,0.030785204895053653,0.0388097536256069,0.5715643185486332,0.2596905025232221,0.034123667773050315,0.1647651556390084,0.05855527407032746,0.025848548070753097,0.2380531079734869,0.003328570519292029,0.03657430438164333,0.05082817624325919,0.19629057117950488,0.35728284655295717,0.25193758020879997,0.26651194506548315,1.2047639698055193,0.25440071417686383,0.27493713782269147,0.4095122447140618,0.04679850126417939,0.0074286446628555325,0.30155894975412956,0.016058158444334225,0.5836271721149195,0.005500349567734375,0.17410588253532921,0.12912026744971605,0.854136349553384,0.3712544400317981,0.0313098648537089,0.2658800683172018,0.29372537656310094,0.37556653191176537,0.040971399225417926,0.22318925995571703,0.12081715905065593,0.12837298301058198,0.11796112074854115,0.19394713597857915,0.37102105919729667,0.2945084380022571,0.18994311822086196,0.01784001923743439,0.11004217118333948,0.026119033164663463,0.08335309631471688,0.13604601233252112,0.16993823400283858,0.0787954304965588,0.7824308302822374,0.3472759672150918,0.05803859828807312,0.014574191611275822,0.18315038749433832,0.19099233645917302,0.5018093775066195,0.39979167834163754,0.1236983357157797,0.013925139288337718,0.7671246048996885,0.21607708332842357,0.10536860553669847,0.19805764082046373,0.6072128476296719,0.050438771189663,0.6654394169641691,0.12634434851074872,0.184503292488861,0.078519475822862,0.09576598107028822,0.2749389533158908,0.18089006782075145,0.0010036727078066576,0.23902355192641167,0.3832238525490439,0.16078267576860483,0.10223873061354105,0.4588384032962942,0.02513496580856156,0.13613284193416497,0.1232851469034344,0.06908641249378888,0.10200774842852134,0.012731554498174091,0.1914412014825313,0.5425832112495446,0.33384073918541723,0.1721426934082082,0.08399267887870465,0.06648322286235953,0.011661586154682269,0.010184384890814968,0.09357920827547161,0.06379419818703269,0.6771176898816869,0.3608173120839222,0.4561042017986612,0.01217634535002965,0.055612223438890496,0.3224330579736918,0.008885208521284937,0.613977429125729,0.3013080599534277,0.08950343126972449,0.04778915366493308,0.19760301652604362,0.3665730667153593,0.10475176257152086,0.035688873058891346,0.07784094480415149,0.1771955279343107,0.17671323941535988,0.10748091100968793,0.29125313456137647,0.016122304874068405,0.2378518288671021,0.03628928592374692,0.47238604646197224,0.051213768555435024,0.11800140009834514,0.1253275681265631,0.1017651101614927,0.25890988435010875,0.09839555364137809,0.4714187649097461,0.030597900221325247,0.04003556266993513,0.23826099671301648,0.15845298065551816,0.05873592438647535,0.007916171415661921,0.13891103087035006,0.06209593722661566,0.15898415412553746,0.16718947216476998,0.280484712986075,0.05797892496616086,0.07283304575783589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
