weights,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128,lambda_129,lambda_130,lambda_131,lambda_132,lambda_133,lambda_134,lambda_135,lambda_136,lambda_137,lambda_138,lambda_139,lambda_140,lambda_141,lambda_142,lambda_143,lambda_144,lambda_145,lambda_146,lambda_147,lambda_148,lambda_149,lambda_150,lambda_151,lambda_152,lambda_153,lambda_154,lambda_155,lambda_156,lambda_157,lambda_158,lambda_159,lambda_160,lambda_161,lambda_162,lambda_163,lambda_164,lambda_165,lambda_166,lambda_167,lambda_168,lambda_169,lambda_170,lambda_171,lambda_172,lambda_173,lambda_174,lambda_175,lambda_176,lambda_177,lambda_178,lambda_179,lambda_180,lambda_181,lambda_182,lambda_183,lambda_184,lambda_185,lambda_186,lambda_187,lambda_188,lambda_189,lambda_190,lambda_191,lambda_192,lambda_193,lambda_194,lambda_195,lambda_196,lambda_197,lambda_198,lambda_199,lambda_200,lambda_201,lambda_202,lambda_203,lambda_204,lambda_205,lambda_206,lambda_207,lambda_208,lambda_209,lambda_210,lambda_211,lambda_212,lambda_213,lambda_214,lambda_215,lambda_216,lambda_217,lambda_218,lambda_219,lambda_220,lambda_221,lambda_222,lambda_223,lambda_224,lambda_225,lambda_226,lambda_227,lambda_228,lambda_229,lambda_230,lambda_231,lambda_232,lambda_233,lambda_234,lambda_235,lambda_236,lambda_237,lambda_238,lambda_239,lambda_240,lambda_241,lambda_242,atomLambda_1 = c_28,atomLambda_2 = c_14,atomLambda_3 = c_16,atomLambda_4 = n_31,atomLambda_5 = o_40,atomLambda_6 = i_95,atomLambda_7 = o_51,atomLambda_8 = c_25,atomLambda_9 = n_36,atomLambda_10 = c_21,atomLambda_11 = cl_93,atomLambda_12 = n_34,atomLambda_13 = o_52,atomLambda_14 = o_41,atomLambda_15 = br_94,atomLambda_16 = c_194,atomLambda_17 = n_35,atomLambda_18 = o_49,atomLambda_19 = c_29,atomLambda_20 = o_45,atomLambda_21 = n_32,atomLambda_22 = c_27,atomLambda_23 = f_92,atomLambda_24 = c_19,atomLambda_25 = n_38,atomLambda_26 = h_8,atomLambda_27 = c_232,atomLambda_28 = c_22,atomLambda_29 = o_42,atomLambda_30 = c_230,atomLambda_31 = h_3,atomLambda_32 = c_26,atomLambda_33 = c_10,atomLambda_34 = c_195,atomLambda_35 = h_1,atomLambda_36 = o_50,bondLambda_1 = 2,bondLambda_2 = 3,bondLambda_3 = 7,bondLambda_4 = 1,bondLambda_5 = 4,bondLambda_6 = 5,
atomKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21469193113689888,0.14298563537528558,0.03209170893841886,0.1345153889003971,-0.017087961356030232,0.00636231577522359,0.20242356826326297,0.5828868481305282,0.5020551134421478,0.6660270717396318,0.12395131912822663,-0.040357304237933427,0.0036748030796029474,0.049045759202022574,0.1341212907350871,0.2679313766151675,0.2146097255102918,0.033072131796388085,0.6075537281343962,0.8593142841739072,0.17574038006708143,0.6847078691773414,0.025415286083652094,1.0414560282135588,0.20288615815806663,0.12270810192784606,0.01757456868369344,0.08949392191151272,0.025142126050310104,0.0980645495063904,-0.016652028174829515,0.5697607744878896,0.08861853632390798,0.16722190459261974,0.10657505133138076,0.10503111384003884,0,0,0,0,0,0,
atomKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19997839777196535,0.06070506762352795,0.22019908602621968,0.8361668979404517,0.0464398819599755,0.05770390563074982,0.09769319274003058,0.2817601138406526,0.18157244285159477,0.009777071912011649,0.326217351060948,0.9806244985253528,0.2585107055421882,0.019349287900204667,0.234567202266634,0.16866107946095338,0.060166537719274354,0.17486904497980868,0.24819248924432788,0.07649932885453262,0.03204380485125579,0.23129255437186116,0.0998522385048069,0.13143999184711275,0.19444493502534285,0.1195053529336491,0.006373220407035332,-0.09789354727610759,0.6813538184077472,0.0743934173451514,0.04363467975169252,0.01180363664958673,0.05881925086916621,0.12033411348412755,0.1974683246832754,0.03283143529581754,0,0,0,0,0,0,
atomKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46908125735192524,0.05684360182580257,0.014246842783693052,0.22660894586799543,0.1003009355190574,0.33200669171402547,0.41749113064388654,0.07642353223152419,0.18629871819591207,0.09663531995598641,-0.008595181390634168,0.07169033743930202,0.29916538524721475,0.20963236575211713,0.26740189322134666,0.06459031648499483,0.44333781588469784,0.2583688933794071,0.373971745779318,0.2337600488153936,0.02331359276161674,0.8332390009894044,0.4619366776214556,0.022976726888412288,0.08954643013249552,0.4700173014363168,0.12440170892084472,0.29358288812277994,0.3326784536752903,0.026123631603498173,0.15919185869233857,-0.02238562507025247,0.11324864098941594,0.13437223615887212,0.2213825767204769,0.10371656403115322,0,0,0,0,0,0,
bondKappa_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29840689892032196,0.2949637646582947,0.09947130176664633,0.7237096852057936,0.07281499821051741,0.051751831144513906,
bondKappa_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27361901128888044,0.048093635960353064,0.0700365290422201,0.6825902271522158,0.18166516950072598,0.03173981396499217,
bondKappa_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023309141782687635,0.0246338453327731,0.44060406251565815,-0.10229756511296106,0.06393284237360558,0.07697958427085067,
finalKappa,0.015098026741025429,0.74146484908828,0.2503286582541855,0.07578519219156878,0.2390204954571886,0.5250910510457428,0.28700130980925803,0.37842831368744156,0.10123806901462849,0.056287881632126315,0.22572799552302278,0.08915720795549273,0.6269535191292706,0.1394859333637955,0.4538217673162616,0.06429400052188658,0.16039195847678195,0.03955399341016952,0.09296058531045809,0.07319222166234518,0.15442722650785698,0.2023768311817175,0.250343199242001,0.05734103977934337,0.30398549382729856,0.36556823137572514,0.019301422626373056,0.06781798938858855,0.012394226907086324,0.6320369833704458,0.31065934390905975,0.10358288018360577,0.005513249697869743,0.21198510995638206,0.37915356765900127,0.4474906354730893,0.031166324965782356,0.07125531731092698,0.16032285325815787,0.13592160493554886,0.030297493024093857,0.11659052255606904,0.10047400749146336,0.096839841067875,0.18957021544329847,1.1738039633268247,0.06582486934511678,0.06258535107603244,0.5032691756438927,0.12777591834173793,0.06956729801173485,0.04014084226866626,0.06122749915076875,0.20911031668951252,0.5204280959676111,0.19998744022509485,0.12636958770264445,0.004607252573891558,0.0683091691919837,0.404704893313562,0.13223105695892215,0.020360547834092416,0.3478431757660658,0.19594009573138157,0.06384384195270586,0.6464890286599887,0.2534483725683064,0.1427531649557673,0.17212091881994226,0.32129875126650675,0.23462051571916107,0.10803051447110106,0.33558963286259336,0.18572706951703993,0.2784105088858546,0.11422408597700273,0.19572804463926216,0.22612842771786304,0.03288559111168412,0.07713237000913233,0.4285505683452368,0.007205116457223061,0.02095043853367025,0.02889211183427219,0.17564948767455277,0.18433959547743745,0.12320552354145534,1.0230300412152833,0.6363908535094914,0.047459609833198635,0.24424742653182233,0.056231247645801036,0.16412367317027968,0.23175527034276458,0.2652704236515784,0.39505885693654663,0.36203541114303983,0.20655763955181716,0.03307139399659007,0.024621432814657087,0.25245558086382464,0.08932923194914795,0.13115818872807167,0.16427183435393614,0.027696059135557553,0.03491871768377379,0.5684751727891378,0.25986822103767304,0.026380648489145862,0.15778020065225143,0.054256063391287156,0.01886359308399607,0.231786327364921,-3.406444403043048E-4,0.03227509370260304,0.04715896128366284,0.19506220852375292,0.34705693573733953,0.24255202908881413,0.25991166276407085,1.195378418685534,0.24581176663702953,0.26903804578777557,0.4029119624126495,0.04089940922926402,0.004039055978046105,0.29063316574646275,0.006169097983209073,0.5773344171708409,-0.004388710893390782,0.1652000848103587,0.12369260295843786,0.8478435946093054,0.3658267755405199,0.02914994028531403,0.25772774712636687,0.2865250197929477,0.37189843267956785,0.03377104245526455,0.216891389930849,0.11794085449670516,0.12470488377838486,0.11508481619459038,0.19430966553945103,0.35966023643755785,0.284200297344877,0.18327599406356224,0.007531878580054126,0.10073268189169035,0.02033128851494688,0.07668597215741758,0.1302582676828045,0.1674601159742089,0.06706156571778804,0.7719925470182241,0.34154940694621067,0.04760031502405913,0.005366273751917143,0.17850761011142147,0.1852657761902917,0.4971666001237029,0.39947032229958634,0.118453713070903,0.009550618942952092,0.7662301061700862,0.21170256298303797,0.10181847254052141,0.19788363044933996,0.6063183489000696,0.05026476081853906,0.6684840447939067,0.11792471299653182,0.17704739245237738,0.07462843988102894,0.08831008103380454,0.26839679222765794,0.1778009220612555,-0.002887363234026455,0.23593440616691572,0.3834015710634948,0.15286401444759634,0.09550824148166256,0.4567463349281226,0.018404476676683115,0.13052991233427763,0.12218262342713841,0.06699434412561765,0.10090522495222538,0.015917741557855625,0.18369702991718828,0.5357758104973671,0.33052143536313017,0.16533529265603095,0.07807311537359803,0.06394211238124765,0.008342282332394537,0.0076432744097030885,0.09423534701256198,0.05286841417936551,0.6672286294205624,0.35452455713984465,0.44621514133753565,0.0032705476250591147,0.050184558947612305,0.31614030302961427,0.0034575440300067873,0.6118175045573337,0.2901258535601135,0.07959665068861387,0.04253596031822762,0.18769623594493295,0.35787716388740637,0.10056418790073339,0.030435679712185908,0.07365337013336402,0.17727452465275875,0.16910429075227387,0.10104625295952131,0.2894172014344936,0.009687646823901663,0.23253143519219874,0.0354309414874026,0.47055011333508934,0.050355424119090705,0.1213973412298939,0.1135937033477924,0.09132682689747883,0.2531833240812276,0.0879572703773642,0.4622108470503876,0.025955122838408423,0.03430900240105359,0.23361821933009966,0.15813162461346694,0.0474118637181821,-0.0018223725088143444,0.13527324124454257,0.05235739330213943,0.1507538215686888,0.16488183105754217,0.2768469233602679,0.055671283858932885,0.07617395343773191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
